precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ANTON ŞTEFAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","SEREEV VALENTIN-PARTIDUL NAȚIONAL LIBERAL-voturi","CORNEI GRIGORE-PARTIDUL SOCIAL DEMOCRAT-voturi","GUREI LUCIAN-COMUNITATEA RUȘILOR LIPOVENI DIN ROMÂNIA-voturi","GUREI ROMAN-PARTIDUL MIȘCAREA POPULARĂ-voturi"
38,TULCEA,"CĂMINUL CULTURAL",182,"SLAVA CERCHEZĂ",161259,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:07:14",907,867,0,20,20,466,427,0,20,19,447,19,981,515,103,117,23,198,6
38,TULCEA,"CONSILIUL LOCAL",181,"SLAVA CERCHEZĂ",161259,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:22:06",979,936,0,30,13,979,936,0,30,13,470,10,1049,569,11,339,74,44,2
