precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"SPRÎNCENATU VICTOR-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","FRĂŢILESCU DRAGOŞ-VASILE-PARTIDUL NAȚIONAL LIBERAL-voturi","PROBAJI CONSTANTIN-UNIUNEA SALVAȚI ROMÂNIA-voturi","REMETEA NARCIS-PETRE-PARTIDUL SOCIAL DEMOCRAT-voturi"
20,GORJ,"GRĂDINIȚA CU PROGRAM NORMAL TISMANA",104,"ORAŞ TISMANA",82430,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:01:39",728,719,1,4,4,463,455,0,4,4,447,16,800,333,50,95,14,288
20,GORJ,"GRĂDINIȚA CU PROGRAM NORMAL TISMANA",105,"ORAŞ TISMANA",82430,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:04:01",1042,1034,0,5,3,661,653,0,5,3,645,16,1100,439,79,88,18,460
20,GORJ,"ȘCOALA GENERALĂ CELEI",106,"ORAŞ TISMANA",82430,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:14:09",714,696,3,15,0,431,415,1,15,0,424,7,800,369,19,53,1,351
20,GORJ,"ȘCOALA GENERALĂ COSTENI",107,"ORAŞ TISMANA",82430,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:14:38",882,863,1,17,1,573,554,1,17,1,551,22,900,327,36,64,3,448
20,GORJ,"ȘCOALA GENERALĂ POCRUIA",108,"ORAŞ TISMANA",82430,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:21:05",841,824,0,14,3,592,575,0,14,3,558,12,900,330,25,190,6,337
20,GORJ,"ȘCOALA GENERALĂ SOHODOL",109,"ORAŞ TISMANA",82430,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:07:18",682,678,0,3,1,476,472,0,3,1,459,17,800,324,26,159,3,271
20,GORJ,"ȘCOALA GENERALĂ TOPEȘTI",110,"ORAŞ TISMANA",82430,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:17:50",856,839,2,10,5,517,502,0,10,5,507,10,936,419,178,35,16,278
