precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","FORȚA DREPTEI-voturi"
18,GALAŢI,"ȘCOALA GENERALĂ LIEȘTI",384,PRIPONEŞTI,77028,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:43:51",183,168,0,15,0,117,102,0,15,0,113,4,179,62,70,17,26,0,0
18,GALAŢI,"SCOALA GIMNAZIALĂ NR. 1",382,PRIPONEŞTI,77028,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:20:23",748,729,0,11,8,400,381,0,11,8,387,13,798,398,197,148,39,1,2
18,GALAŢI,"ȘCOALA GIMNAZIALĂ NR. 1",383,PRIPONEŞTI,77028,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:19:24",848,783,0,48,17,546,481,0,48,17,520,26,863,317,296,20,182,15,7
