precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi"
26,MARAMUREŞ,"CĂMIN CULTURAL",256,"BOGDAN VODĂ",107403,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:40:43",537,494,0,16,27,260,217,0,16,27,241,19,551,291,167,43,28,3
26,MARAMUREŞ,GRĂDINIȚĂ,255,"BOGDAN VODĂ",107403,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:38:51",1936,1837,1,24,74,1116,1017,1,24,74,1053,63,2100,984,600,261,115,77
