precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi"
1,ALBA,"CĂMINUL CULTURAL RĂZBOIENI-CETATE",165,"ORAŞ OCNA MUREŞ",1794,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:23:27",1027,1014,1,6,6,454,442,0,6,6,439,15,1268,814,116,11,41,189,82
1,ALBA,"CASA DE CULTURĂ ”ION SÂNGEREANU”",157,"ORAŞ OCNA MUREŞ",1794,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:12:14",1199,1179,2,5,13,555,536,1,5,13,542,13,1300,745,290,29,53,29,141
1,ALBA,"DIRECŢIA SANITAR-VETERINARĂ ŞI PENTRU SIGURANŢA ALIMENTELOR OCNA MUREŞ",158,"ORAŞ OCNA MUREŞ",1794,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:18:23",1086,1072,1,8,5,474,461,0,8,5,458,16,1150,676,220,24,50,17,147
1,ALBA,"GRĂDINIŢA CU PROGRAM NORMAL MICOŞLACA",164,"ORAŞ OCNA MUREŞ",1794,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:25:34",250,237,0,11,2,120,107,0,11,2,116,4,304,184,57,1,25,6,27
1,ALBA,"GRĂDINIŢA CU PROGRAM NORMAL NR. 3",160,"ORAŞ OCNA MUREŞ",1794,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:16:22",1404,1391,2,7,4,704,693,0,7,4,678,26,1500,796,350,34,111,34,149
1,ALBA,"GRĂDINIŢA CU PROGRAM NORMAL NR. 5",155,"ORAŞ OCNA MUREŞ",1794,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:09:17",1304,1297,0,6,1,603,596,0,6,1,582,21,1400,797,271,35,110,50,116
1,ALBA,"LICEUL TEORETIC ”PETRU MAIOR”",159,"ORAŞ OCNA MUREŞ",1794,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:34:50",1280,1264,0,8,8,581,565,0,8,8,563,18,1392,811,268,36,89,16,154
1,ALBA,"ŞCOALA GENERALĂ CISTEIU DE MUREŞ",163,"ORAŞ OCNA MUREŞ",1794,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:27:52",553,547,0,6,0,224,218,0,6,0,215,9,600,376,68,14,82,8,43
1,ALBA,"ȘCOALA GIMNAZIALĂ ”LUCIAN BLAGA”",156,"ORAŞ OCNA MUREŞ",1794,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:33:52",1103,1092,1,7,3,538,528,0,7,3,518,20,1200,662,245,28,45,26,174
1,ALBA,"ŞCOALA PRIMARĂ UIOARA DE JOS",161,"ORAŞ OCNA MUREŞ",1794,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:16:26",844,833,1,5,5,360,350,0,5,5,336,24,900,540,168,8,35,12,113
1,ALBA,"ŞCOALA PRIMARĂ UIOARA DE SUS, SALA NR. 1",162,"ORAŞ OCNA MUREŞ",1794,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:54:32",1331,1320,3,4,4,567,559,0,4,4,537,30,1450,883,260,30,109,23,115
