precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DRĂGHICI IULIAN-LIVIU-PARTIDUL SOCIAL DEMOCRAT-voturi","LEOCAN CRISTIAN-DANIEL-UNIUNEA SALVAȚI ROMÂNIA-voturi","GHEORGHE CRISTIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","NEAGU PAUL-CRISTIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","DUMITRU MIHĂIŢĂ-PARTIDUL PRO ROMÂNIA-voturi","MATEI ION-PARTIDUL MIȘCAREA POPULARĂ-voturi","MATEI ION-PARTIDUL S.O.S. ROMÂNIA-voturi","STANCIU ION-PARTIDUL ROMÂNIA NOASTRĂ-voturi"
25,ILFOV,"FOSTA ŞCOALA NR. 3 PERIS",260,PERIŞ,104546,2,PART,PRCNCT,P,P_SV,"2024-06-10 11:51:51",687,669,1,13,4,446,428,1,13,4,434,5,749,310,78,183,97,28,32,5,6,5
25,ILFOV,"GRĂDINIȚA NR.2, BĂLTENI",261,PERIŞ,104546,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:56:40",442,429,1,12,0,283,270,1,12,0,276,7,500,217,60,60,96,16,3,3,4,34
25,ILFOV,"LICEUL TEORETIC NR.1 PERIŞ",258,PERIŞ,104546,2,PART,PRCNCT,P,P_SV,"2024-06-10 13:16:44",1911,1870,4,35,2,1187,1150,0,35,2,1110,21,2050,919,187,193,460,70,89,52,28,31
25,ILFOV,"SCOALA GIMNAZIALA NR.2 PERIS",257,PERIŞ,104546,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:30:19",1068,1054,4,7,3,666,655,1,7,3,652,14,1150,484,99,229,175,85,32,20,5,7
25,ILFOV,"ȘCOALA GIMNAZIALĂ NR.2 PERIȘ",259,PERIŞ,104546,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:20:28",1012,999,0,12,1,651,638,0,12,1,632,19,1100,449,78,165,203,66,75,24,11,10
25,ILFOV,"ȘCOALA GIMNAZIALĂ ”PROF.ION IONIȚĂ ” BURIAȘ",262,PERIŞ,104546,1,PART,PRCNCT,P,P_SV,"2024-06-10 11:03:11",1055,1036,0,18,1,765,746,0,18,1,747,17,1153,389,58,49,185,24,12,22,5,392
