precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","FORȚA DREPTEI-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL MIȘCAREA ROMÂNIA SUVERANĂ-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL PATRIOȚILOR-voturi"
26,MARAMUREŞ,"ŞCOALA BIRŢ",144,"ORAŞ BORŞA",106746,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:50:29",1351,1328,0,10,13,552,529,0,10,13,526,26,1400,848,246,9,106,84,26,24,11,13,0,0,6,1
26,MARAMUREŞ,"ŞCOALA FÎNTÎNA",145,"ORAŞ BORŞA",106746,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:18:06",1184,1174,3,4,3,470,463,0,4,3,437,33,1300,830,204,5,155,41,10,6,1,5,1,3,5,1
26,MARAMUREŞ,"ŞCOALA GÎRLEA",139,"ORAŞ BORŞA",106746,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:57:31",1095,1082,0,5,8,514,501,0,5,8,485,29,1200,686,235,5,109,68,6,23,9,24,0,0,6,0
26,MARAMUREŞ,"ŞCOALA NR. 1",131,"ORAŞ BORŞA",106746,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:17:04",1386,1380,0,6,0,580,574,0,6,0,556,24,1600,1020,205,5,122,58,26,18,39,48,12,4,12,7
26,MARAMUREŞ,"ŞCOALA NR. 1",130,"ORAŞ BORŞA",106746,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:06:16",1220,1211,0,8,1,412,406,0,5,1,399,13,1300,888,202,3,79,43,18,15,4,15,1,1,8,10
26,MARAMUREŞ,"ŞCOALA NR. 7",149,"ORAŞ BORŞA",106746,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:12:25",1342,1334,1,7,0,506,498,1,7,0,467,29,1530,1034,201,34,50,104,13,15,19,6,3,3,12,7
26,MARAMUREŞ,"ŞCOALA NR. 7",148,"ORAŞ BORŞA",106746,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:30:12",1158,1154,0,4,0,440,436,0,4,0,426,14,1300,860,141,46,62,76,15,6,29,9,13,1,10,18
26,MARAMUREŞ,"ŞCOALA NR. 8",132,"ORAŞ BORŞA",106746,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:46:30",1326,1315,2,5,4,552,542,1,5,4,526,26,1400,848,227,3,69,82,41,24,14,45,0,0,10,11
26,MARAMUREŞ,"ŞCOALA NR. 8",133,"ORAŞ BORŞA",106746,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:31:31",1353,1347,0,5,1,604,598,0,5,1,583,21,1600,996,216,10,106,87,38,21,23,53,5,6,9,9
26,MARAMUREŞ,"ŞCOALA NR. 9",134,"ORAŞ BORŞA",106746,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:51:53",1608,1593,2,11,2,618,605,0,11,2,603,15,1700,1082,251,6,130,54,42,21,21,38,8,8,10,14
