precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PRELIPCEAN PETRU-VIOREL-PARTIDUL NAȚIONAL LIBERAL-voturi","ANDRIŞAN IONEL-PARTIDUL SOCIAL DEMOCRAT-voturi"
35,SUCEAVA,"CĂMINUL CULTURAL HORODNIC DE JOS",351,"HORODNIC DE JOS",149101,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:26:38",1389,1384,1,4,0,747,743,0,4,0,722,25,1415,668,91,631
35,SUCEAVA,"SCOALA PRIMARĂ VASILE ŢIGĂNESCU",352,"HORODNIC DE JOS",149101,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:34:02",632,629,0,3,0,338,335,0,3,0,328,10,800,462,43,285
