precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"NAGY TIBI-PARTIDUL NAȚIONAL LIBERAL-voturi","FALUVÉGI FRANCISC-ŞTEFAN-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi"
33,SĂLAJ,"CENTRUL LOCAL DE INFORMARE TURISTICĂ",104,CARASTELEC,140477,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:46:33",804,780,2,3,19,503,481,0,3,19,484,19,841,338,64,420
33,SĂLAJ,"ŞCOALA PRIMARĂ",105,CARASTELEC,140477,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:24:30",32,24,0,8,0,19,11,0,8,0,17,2,50,31,6,11
