precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
36,TELEORMAN,"CASA DE CULTURĂ",51,"MUNICIPIUL ROŞIORI DE VEDE",151870,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 14:58:41",1017,1000,0,16,1,402,385,0,16,1,393,8,1110,709,54,169,23,147
36,TELEORMAN,"CENTRUL CULTURAL",40,"MUNICIPIUL ROŞIORI DE VEDE",151870,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:34:30",1014,1007,0,5,2,412,405,0,5,2,388,24,1110,698,39,198,38,113
36,TELEORMAN,"CLUBUL COPIILOR",44,"MUNICIPIUL ROŞIORI DE VEDE",151870,2,PART,PRCNCT,CL,CL_SV,"2024-06-11 13:33:39",1253,1247,1,5,0,547,542,0,5,0,524,23,1380,833,47,246,50,181
36,TELEORMAN,"COLEGIUL NAŢIONAL ”ANASTASESCU”",52,"MUNICIPIUL ROŞIORI DE VEDE",151870,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 17:08:09",1307,1306,0,1,0,522,521,0,1,0,504,18,1480,958,60,240,47,157
36,TELEORMAN,"COLEGIUL TEHNIC ”ANGHEL SALIGNY”",38,"MUNICIPIUL ROŞIORI DE VEDE",151870,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:32:41",991,980,0,9,2,426,415,0,9,2,405,21,1100,674,46,206,48,105
36,TELEORMAN,"GRĂDINIŢA CU PROGRAM NORMAL NR. 3",53,"MUNICIPIUL ROŞIORI DE VEDE",151870,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:52:14",1155,1145,0,9,1,438,428,0,9,1,421,17,1300,862,19,226,46,130
36,TELEORMAN,"GRĂDINITA CU PROGRAM NORMAL NR.5",48,"MUNICIPIUL ROŞIORI DE VEDE",151870,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:31:10",1332,1325,1,4,2,492,486,0,4,2,472,20,1470,978,41,207,61,163
36,TELEORMAN,"GRĂDINIȚA CU PROGRAM NORMAL NR.5",49,"MUNICIPIUL ROŞIORI DE VEDE",151870,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:14:11",1030,1018,0,7,5,459,447,0,7,5,444,15,1120,661,37,200,69,138
36,TELEORMAN,"GRĂDINIŢA CU PROGRAM NORMAL NR. 6",55,"MUNICIPIUL ROŞIORI DE VEDE",151870,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:50:49",964,957,0,4,3,372,365,0,4,3,357,15,1060,688,30,152,53,122
36,TELEORMAN,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.1",39,"MUNICIPIUL ROŞIORI DE VEDE",151870,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 18:47:56",987,981,0,3,3,396,390,0,3,3,385,11,1080,684,37,163,50,135
