precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"IOSIF ION-PARTIDUL NAȚIONAL LIBERAL-voturi","HEPENEŢ GABRIEL-PARTIDUL SOCIAL DEMOCRAT-voturi","GRECU EDUARD-PARTIDUL PRO ROMÂNIA-voturi","BANU PETRE-AURELIAN-ALIANȚA DREAPTA UNITĂ USR - PMP-voturi"
3,ARGEŞ,"CĂMIN CULTURAL MĂŢĂU",392,MIOARELE,17334,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:45:21",950,943,0,1,6,693,686,0,1,6,682,11,900,207,363,203,15,101
3,ARGEŞ,"ŞCOALA PRIMARĂ I-IV SUSLĂNEŞTI",393,MIOARELE,17334,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:43:53",317,307,0,6,4,195,185,0,6,4,193,2,327,132,85,98,1,9
