precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ILIE IULIAN-CIPRIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","OANCĂ IULIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BUTE GHIORGHE-PARTIDUL SOCIAL DEMOCRAT-voturi","NAZARE VASILE-PARTIDUL S.O.S. ROMÂNIA-voturi"
18,GALAŢI,"CAMINUL CULTURAL",389,SCÂNTEIEŞTI,77126,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:39:26",740,709,0,1,30,408,377,0,1,30,396,12,806,398,272,6,111,7
18,GALAŢI,"CAMINUL CULTURAL",390,SCÂNTEIEŞTI,77126,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:05:20",1300,1236,1,7,56,720,657,0,7,56,680,40,1357,631,129,33,508,10
