precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","FORȚA DREPTEI-voturi"
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL TEREGOVA",336,TEREGOVA,54270,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:14:35",1233,1120,2,38,73,857,745,1,38,73,829,28,1239,382,469,216,74,64,6
11,CARAŞ-SEVERIN,"LICEUL TEHNOLOGIC ”SF. DIMITRIE” TEREGOVA",337,TEREGOVA,54270,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:12:02",1124,1055,0,22,47,757,688,0,22,47,736,21,1164,407,401,171,91,69,4
11,CARAŞ-SEVERIN,"OFICIUL PRIMĂRIEI RUSCA",338,TEREGOVA,54270,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:08:04",999,936,0,10,53,675,612,0,10,53,656,19,1033,358,427,163,55,10,1
