precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DINDIRI ELENA-PARTIDUL NAȚIONAL LIBERAL-voturi","NEGRILĂ FLOREA-PARTIDUL SOCIAL DEMOCRAT-voturi","STAN CORNEL-CONSTANTIN-PARTIDUL S.O.S. ROMÂNIA-voturi"
30,OLT,"CĂMINUL CULTURAL BĂBICIU",125,BĂBICIU,125659,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:15:04",722,631,0,39,52,633,542,0,39,52,531,11,745,203,205,319,7
30,OLT,"CĂMINUL CULTURAL BĂBICIU",126,BĂBICIU,125659,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:26:03",1133,997,0,136,0,835,699,0,136,0,816,19,1086,218,291,519,6
