precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","FORȚA DREPTEI-voturi"
20,GORJ,"ŞCOALA GENERALĂ VALEA",162,BOLBOŞI,79077,3,PART,PRCNCT,CL,CL_SV,"2024-06-12 15:13:35",1113,1103,3,5,2,582,575,0,5,2,545,37,1181,599,282,176,37,26,10,14
20,GORJ,"ŞCOALA PRIMARĂ BĂLĂCEŞTI",161,BOLBOŞI,79077,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:19:06",532,524,0,3,5,373,365,0,3,5,356,17,600,227,131,170,27,8,6,14
20,GORJ,"ŞCOALA PRIMARĂ BOLBOŞI",160,BOLBOŞI,79077,2,PART,PRCNCT,CL,CL_SV,"2024-06-12 15:24:17",895,875,0,9,11,629,609,0,9,11,602,27,1000,371,371,148,20,23,33,7
