precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ROMAN GHEORGHE-PARTIDUL NAȚIONAL LIBERAL-voturi","MŰLLER VASILE-DĂNUŢ-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","MUREŞAN CLAUDIU-MARINEL-PARTIDUL SOCIAL DEMOCRAT-voturi","DORDEA FLAVIUS-IOAN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","SCHNEIDER PETRU-PAUL-PARTIDUL ECOLOGIST ROMÂN-voturi","POTRA HORAŢIU-PARTIDUL PATRIOȚILOR-voturi","DINCĂ TUDOR-voturi"
34,SIBIU,"AUTOGARA MEDIAŞ",126,"MUNICIPIUL MEDIAŞ",143619,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:37:09",1170,1154,3,9,4,459,446,0,9,4,447,12,1250,791,126,51,6,49,5,193,17
34,SIBIU,"CASA DE OASPETI",137,"MUNICIPIUL MEDIAŞ",143619,2,PART,PRCNCT,P,P_SV,"2024-06-10 03:23:05",760,747,5,7,1,327,319,0,7,1,318,9,965,638,111,4,40,22,1,129,11
34,SIBIU,"CENTRU ŞCOLAR DE EDUCAŢIE INCLUZIVĂ MEDIAŞ",116,"MUNICIPIUL MEDIAŞ",143619,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:57:55",1106,1095,2,7,2,527,518,0,7,2,514,13,1266,739,218,7,40,22,5,207,15
34,SIBIU,"CLUBUL COPIILOR",115,"MUNICIPIUL MEDIAŞ",143619,4,PART,PRCNCT,P,P_SV,"2024-06-10 13:43:05",1006,992,3,8,3,459,448,0,8,3,449,10,1000,541,210,12,36,17,6,156,12
34,SIBIU,"COLEGIUL ”ŞCOALA NAŢIONALĂ DE GAZ”",136,"MUNICIPIUL MEDIAŞ",143619,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:43:39",1071,1062,3,6,0,431,425,0,6,0,415,16,1150,719,175,12,45,17,3,133,30
34,SIBIU,"COMPLEX COMERCIAL",134,"MUNICIPIUL MEDIAŞ",143619,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:09:29",1251,1243,0,8,0,573,565,0,8,0,565,8,1300,727,211,20,65,47,6,203,13
34,SIBIU,"CREŞA NR.3",129,"MUNICIPIUL MEDIAŞ",143619,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:12:42",1149,1140,3,6,0,497,491,0,6,0,475,22,1250,753,186,12,74,27,6,155,15
34,SIBIU,"GRĂDINIŢA CU PROGRAM PRELUNGIT BUCURIA COPIILOR",111,"MUNICIPIUL MEDIAŞ",143619,2,PART,PRCNCT,P,P_SV,"2024-06-10 06:15:56",1099,1089,6,4,0,489,485,0,4,0,477,12,1200,711,209,11,63,25,5,156,8
34,SIBIU,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.12",109,"MUNICIPIUL MEDIAŞ",143619,2,PART,PRCNCT,P,P_SV,"2024-06-10 06:37:27",1015,1003,1,7,4,386,375,0,7,4,377,9,1100,714,117,9,38,18,5,177,13
34,SIBIU,"GRĂDINIŢA CU PROGRAM PRELUNGIT PINOCCHIO",140,"MUNICIPIUL MEDIAŞ",143619,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:59:55",1177,1166,2,5,4,463,454,0,5,4,454,9,1350,887,161,6,44,27,3,209,4
34,SIBIU,"GRĂDINIŢA CU PROGRAM PRELUNGIT PITICOT",125,"MUNICIPIUL MEDIAŞ",143619,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:07:36",1298,1282,0,8,8,627,611,0,8,8,588,39,1350,723,290,18,51,9,3,206,11
34,SIBIU,"GRĂDINIŢA CU PROGRAM PRELUNGIT RAZĂ DE SOARE",121,"MUNICIPIUL MEDIAŞ",143619,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:13:09",1161,1139,10,8,4,479,467,0,8,4,472,7,1250,771,203,9,53,24,4,174,5
34,SIBIU,"LICEUL TEHNOLOGIC ”MEDIENSIS”",138,"MUNICIPIUL MEDIAŞ",143619,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:31:41",1337,1322,1,11,3,623,609,0,11,3,609,14,1515,892,240,5,80,21,7,236,20
34,SIBIU,"LICEUL TEORECTIC ”AXENTE SEVER”",135,"MUNICIPIUL MEDIAŞ",143619,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:50:45",1162,1147,4,11,0,534,523,0,11,0,526,8,1250,716,199,11,58,36,8,193,21
34,SIBIU,"LICEUL TEORETIC ”ROTH - OBERTH”",108,"MUNICIPIUL MEDIAŞ",143619,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:06:03",1045,1022,11,8,4,383,369,2,8,4,371,12,1150,767,104,3,39,29,4,166,26
34,SIBIU,"SC AUTOMECANICA SA",130,"MUNICIPIUL MEDIAŞ",143619,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:25:49",559,552,0,7,0,269,262,0,7,0,261,8,650,381,121,5,18,15,5,94,3
34,SIBIU,"SC HULA VECHE SRL",114,"MUNICIPIUL MEDIAŞ",143619,1,PART,PRCNCT,P,P_SV,"2024-06-10 14:15:25",1223,1213,1,5,4,580,571,0,5,4,566,14,1300,720,209,6,56,25,8,248,14
34,SIBIU,"ŞCOALA GIMNAZIALĂ",149,"MUNICIPIUL MEDIAŞ",143619,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:34:15",1335,1325,1,7,2,525,517,0,7,1,507,18,1450,925,256,8,28,8,3,202,2
34,SIBIU,"ŞCOALA GIMNAZIALĂ CIREŞARII",139,"MUNICIPIUL MEDIAŞ",143619,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:30:24",1284,1271,2,11,0,541,529,1,11,0,537,4,1465,924,226,7,64,29,8,186,17
34,SIBIU,"ŞCOALA GIMNAZIALĂ CONSTANTIN IOAN MOTAŞ",142,"MUNICIPIUL MEDIAŞ",143619,2,PART,PRCNCT,P,P_SV,"2024-06-10 14:14:35",1284,1277,0,2,5,474,467,0,2,5,464,10,1450,976,228,5,45,10,0,170,6
34,SIBIU,"ŞCOALA GIMNAZIALĂ CONSTANTIN IOAN MOTAŞ",144,"MUNICIPIUL MEDIAŞ",143619,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:28:06",1130,1116,3,10,1,463,452,0,10,1,456,7,1250,787,186,11,50,16,4,184,5
