precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
25,ILFOV,"DIRECȚIA POLIȚIEI LOCALE BUFTEA",30,"ORAŞ BUFTEA",100576,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:42:50",1431,1392,0,27,12,1100,1061,0,27,12,1054,46,1500,400,738,65,95,124,7,25
25,ILFOV,"LICEUL TEHNOLOGIC ”DUMITRU DUMITRESCU” BUFTEA",24,"ORAŞ BUFTEA",100576,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:29:54",1627,1574,0,17,36,1091,1038,0,17,36,1024,67,1800,709,618,92,128,151,6,29
25,ILFOV,"LICEUL TEHNOLOGIC ”DUMITRU DUMITRESCU” BUFTEA",23,"ORAŞ BUFTEA",100576,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:28:14",988,950,1,18,19,629,592,0,18,19,612,17,1100,471,362,56,92,79,6,17
25,ILFOV,"PROPRIETATE PRIVATĂ: TUTUNARU GHEORGHE",33,"ORAŞ BUFTEA",100576,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:15:48",509,490,0,14,5,267,248,0,14,5,258,9,558,291,173,22,22,31,3,7
25,ILFOV,"ȘCOALA GIMNAZIALĂ NR. 1 BUFTEA",21,"ORAŞ BUFTEA",100576,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 17:32:13",1711,1672,2,21,16,970,932,1,21,16,935,35,1900,930,435,128,193,140,9,30
25,ILFOV,"ȘCOALA GIMNAZIALĂ NR. 1 BUFTEA",22,"ORAŞ BUFTEA",100576,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 19:53:44",1812,1781,2,9,20,1012,983,0,9,20,982,30,2000,988,549,113,136,121,24,39
25,ILFOV,"ȘCOALA GIMNAZIALĂ NR. 1 BUFTEA",20,"ORAŞ BUFTEA",100576,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 19:07:17",1651,1616,2,18,15,935,902,0,18,15,893,42,1800,865,482,112,140,105,14,40
25,ILFOV,"ȘCOALA GIMNAZIALĂ NR. 2 BUFTEA",26,"ORAŞ BUFTEA",100576,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:11:42",1449,1435,0,5,9,878,864,0,5,9,838,40,1600,722,361,143,182,119,20,13
25,ILFOV,"ȘCOALA GIMNAZIALĂ NR. 2 BUFTEA",25,"ORAŞ BUFTEA",100576,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:21:42",1275,1250,5,13,7,750,730,0,13,7,733,17,1300,550,310,110,153,131,14,15
25,ILFOV,"ȘCOALA GIMNAZIALĂ NR. 2 BUFTEA",27,"ORAŞ BUFTEA",100576,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:32:55",1695,1644,6,16,29,1180,1135,0,16,29,1155,25,1850,670,593,143,213,179,4,23
25,ILFOV,"ȘCOALA GIMNAZIALĂ NR. 2 BUFTEA",28,"ORAŞ BUFTEA",100576,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:02:40",1577,1541,1,21,14,981,945,1,21,14,947,34,1750,769,465,100,192,141,20,29
25,ILFOV,"ȘCOALA GIMNAZIALĂ NR. 3 BUFTEA",32,"ORAŞ BUFTEA",100576,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:11:23",643,613,1,21,8,429,400,0,21,8,394,14,700,292,192,56,78,53,3,12
25,ILFOV,"ȘCOALA GIMNAZIALĂ NR. 3 BUFTEA",31,"ORAŞ BUFTEA",100576,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 21:34:24",1769,1726,4,29,10,1184,1145,0,29,10,1127,57,1900,716,565,141,204,159,9,49
25,ILFOV,"ȘCOALA GIMNAZIALĂ NR. 4 BUFTEA",29,"ORAŞ BUFTEA",100576,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:54:49",1127,1092,0,19,16,771,736,0,19,16,722,49,1200,429,467,55,67,111,3,19
