precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL ROMÂNIA MARE-voturi"
16,DÂMBOVIŢA,"CĂMINUL CULTURAL „ECATERINA OPROIU”",429,VULCANA-BĂI,69615,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:49:52",1346,1299,0,14,33,826,779,0,14,33,810,16,1420,594,74,394,279,45,18
16,DÂMBOVIŢA,"CĂMINUL CULTURAL „IH RĂDULESCU”",430,VULCANA-BĂI,69615,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:32:49",1152,1118,1,13,20,635,602,0,13,20,613,22,1256,621,44,331,157,74,7
