precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi","FORȚA DREPTEI-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi"
32,"SATU MARE","SCOALA GENERALA BERVENI",143,BERVENI,137032,2,PART,PRCNCT,CL,CL_SV,"2024-06-11 14:33:25",1635,1584,7,8,36,988,944,2,8,34,952,36,1800,812,122,1,9,9,15,28,768
32,"SATU MARE","SCOALA GENERALA LUCACENI",144,BERVENI,137032,3,PART,PRCNCT,CL,CL_SV,"2024-06-11 14:49:03",1223,1188,0,3,32,746,713,0,3,30,695,51,1329,583,4,23,29,132,109,193,205
