precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PLEŞCAN SĂNDEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","VLAD MARIANA-PARTIDUL SOCIAL DEMOCRAT-voturi","HUZA IOAN-PARTIDUL NAȚIONAL LIBERAL-voturi"
28,MUREŞ,"CĂMIN CULTURAL",265,BĂLA,115600,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:57:14",387,340,2,4,41,303,258,0,4,41,286,17,420,117,6,63,217
28,MUREŞ,"ȘCOALA PRIMARĂ",266,BĂLA,115600,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:22:49",121,115,0,6,0,72,66,0,6,0,69,3,124,52,3,23,43
