precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL PROGRESIST-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","LEHĂDUŞ ALIN-ŞTEFAN-voturi","LUCA-MOISE FLORENTINA-voturi","ACATRINEI DIANA-NICOLETA-voturi"
29,NEAMŢ,"CASA CORPULUI DIDACTIC",54,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 13:28:42",1295,1289,2,4,0,601,597,0,4,0,557,44,1400,799,60,165,131,8,5,43,19,32,44,13,21,16
29,NEAMŢ,"CENTRUL DE SPRIJIN ȘI ASISTENȚĂ DE SPECIALITATE PENTRU COPII",21,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:21:48",1387,1373,3,11,0,483,472,0,11,0,460,23,1500,1017,46,138,98,5,3,52,7,30,35,11,20,15
29,NEAMŢ,"CENTRUL SOCIAL - CARTIER SPERANŢA",36,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:05:03",903,895,0,8,0,416,408,0,8,0,384,27,1000,587,47,100,86,8,1,43,2,50,14,6,15,12
29,NEAMŢ,"CENTRUL SOCIAL PIETRICICA",28,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:31:47",1536,1532,0,4,0,648,644,0,4,0,604,34,1701,1051,59,205,140,11,2,41,9,20,45,11,37,24
29,NEAMŢ,"CLĂDIRE ADMINISTRATIVĂ S.C. CMI URBAN S.A. (ŞTRAND MUNICIPAL)",37,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:07:34",722,714,0,7,1,284,276,0,7,1,263,21,800,516,30,58,80,3,3,18,4,24,18,12,3,10
29,NEAMŢ,"COLEGIUL NAȚIONAL ”CALISTRAT HOGAȘ”",7,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:45:22",1275,1270,0,5,0,404,399,0,5,0,391,11,1400,998,50,94,119,2,3,25,7,10,43,10,21,7
29,NEAMŢ,"COLEGIUL NAȚIONAL DE INFORMATICĂ",29,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:58:39",1784,1775,0,9,0,714,705,0,9,0,684,30,1900,1186,63,192,188,5,2,66,7,21,71,26,24,19
29,NEAMŢ,"COLEGIUL NAȚIONAL DE INFORMATICĂ",34,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:47:29",886,885,0,1,0,360,359,0,1,0,343,17,1000,640,30,126,74,2,1,18,0,14,36,12,13,17
29,NEAMŢ,"COLEGIUL NAȚIONAL DE INFORMATICĂ",30,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:23:29",1644,1632,4,8,0,798,790,0,8,0,766,32,1800,1002,83,178,225,13,3,61,11,24,91,29,23,25
29,NEAMŢ,"COLEGIUL NAȚIONAL DE INFORMATICĂ",32,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:20:50",1261,1250,2,9,0,556,547,0,9,0,514,24,1400,862,51,151,147,3,5,33,6,28,28,18,24,20
