county_nce,county_name,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,g1.1,g1.2,g1.3,g4,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-1","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-2","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-1","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-2","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-1","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-2","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-mandate-faza-1","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-mandate-faza-2","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-mandate-faza-1","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-mandate-faza-2","PARTIDUL IALOMIȚENILOR-voturi","PARTIDUL IALOMIȚENILOR-mandate-faza-1","PARTIDUL IALOMIȚENILOR-mandate-faza-2","IORDACHE DIANA-IZABELA-voturi","IORDACHE DIANA-IZABELA-mandate-faza-1","IORDACHE DIANA-IZABELA-mandate-faza-2","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL S.O.S. ROMÂNIA-mandate-faza-1","PARTIDUL S.O.S. ROMÂNIA-mandate-faza-2","PARTIDUL LEGE EDUCAȚIE UNITATE-voturi","PARTIDUL LEGE EDUCAȚIE UNITATE-mandate-faza-1","PARTIDUL LEGE EDUCAȚIE UNITATE-mandate-faza-2","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-mandate-faza-1","PARTIDUL UMANIST SOCIAL LIBERAL-mandate-faza-2","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL ROMÂNIA MARE-mandate-faza-1","PARTIDUL ROMÂNIA MARE-mandate-faza-2","UNIUNEA SALVAȚI ROMÂNIA-voturi","UNIUNEA SALVAȚI ROMÂNIA-mandate-faza-1","UNIUNEA SALVAȚI ROMÂNIA-mandate-faza-2","PARTIDUL OAMENILOR TINERI-voturi","PARTIDUL OAMENILOR TINERI-mandate-faza-1","PARTIDUL OAMENILOR TINERI-mandate-faza-2","ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP-mandate-faza-1","ALIANȚA DREAPTA UNITĂ USR - PMP-mandate-faza-2","FORȚA DREPTEI-voturi","FORȚA DREPTEI-mandate-faza-1","FORȚA DREPTEI-mandate-faza-2","ALEXE EMIL-voturi","ALEXE EMIL-mandate-faza-1","ALEXE EMIL-mandate-faza-2","DOLETE ANGELICA-ANA-voturi","DOLETE ANGELICA-ANA-mandate-faza-1","DOLETE ANGELICA-ANA-mandate-faza-2","NACHE ARISTIDE-voturi","NACHE ARISTIDE-mandate-faza-1","NACHE ARISTIDE-mandate-faza-2","PARTIDUL VOLT ROMANIA-voturi","PARTIDUL VOLT ROMANIA-mandate-faza-1","PARTIDUL VOLT ROMANIA-mandate-faza-2","PARTIDUL PATRIOȚILOR QANON-voturi","PARTIDUL PATRIOȚILOR QANON-mandate-faza-1","PARTIDUL PATRIOȚILOR QANON-mandate-faza-2","BOCIOAGĂ IULIU-CIPRIAN-voturi","BOCIOAGĂ IULIU-CIPRIAN-mandate-faza-1","BOCIOAGĂ IULIU-CIPRIAN-mandate-faza-2","PARTIDUL PATRIOȚII POPORULUI ROMÂN-voturi","PARTIDUL PATRIOȚII POPORULUI ROMÂN-mandate-faza-1","PARTIDUL PATRIOȚII POPORULUI ROMÂN-mandate-faza-2","SANDU DORINA-voturi","SANDU DORINA-mandate-faza-1","SANDU DORINA-mandate-faza-2","GHIORGHIŞOR IONEL-voturi","GHIORGHIŞOR IONEL-mandate-faza-1","GHIORGHIŞOR IONEL-mandate-faza-2","GRESIANU DANIEL-IONUŢ-voturi","GRESIANU DANIEL-IONUŢ-mandate-faza-1","GRESIANU DANIEL-IONUŢ-mandate-faza-2","CĂLIN DOBRIN-voturi","CĂLIN DOBRIN-mandate-faza-1","CĂLIN DOBRIN-mandate-faza-2"
23,IALOMIŢA,ROŞIORI,179828,4,FINAL,UAT,CL,CL_CE,"2024-06-18 17:37:21",1563,1427,1,35,100,1248,1113,0,35,100,1214,34,1687,439,60,84,97,110,220,2,0,600,5,0,394,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,IALOMIŢA,SĂLCIOARA,94330,2,FINAL,UAT,CL,CL_CE,"2024-06-13 20:37:16",1670,1538,1,45,86,1297,1166,0,45,86,1268,29,1797,500,63,88,101,115,291,2,1,593,5,0,384,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,IALOMIŢA,SĂRĂŢENI,180019,2,FINAL,UAT,CL,CL_CE,"2024-06-13 20:27:32",927,873,2,39,13,505,452,1,39,13,454,51,965,460,22,31,36,47,0,0,0,113,2,0,312,6,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,IALOMIŢA,SĂVENI,94376,2,FINAL,UAT,CL,CL_CE,"2024-06-14 11:58:10",2739,2719,0,6,14,1314,1294,0,6,14,1279,35,3013,1699,63,89,102,95,130,1,0,991,10,1,33,0,0,125,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,IALOMIŢA,SCÂNTEIA,94429,2,FINAL,UAT,CL,CL_CE,"2024-06-14 10:07:51",2937,2898,2,18,19,1587,1550,0,18,19,1531,56,3208,1621,76,107,122,106,210,1,1,1180,11,0,35,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,IALOMIŢA,"SFÂNTU GHEORGHE",94456,2,FINAL,UAT,CL,CL_CE,"2024-06-13 20:17:14",1448,1422,3,8,15,1007,982,2,8,15,983,24,1585,578,49,68,78,89,67,0,1,405,4,0,433,4,1,78,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,IALOMIŢA,SINEŞTI,105026,2,FINAL,UAT,CL,CL_CE,"2024-06-13 20:51:12",2193,2148,2,43,0,1300,1257,0,43,0,1264,36,2351,1051,63,88,101,107,115,1,0,963,9,0,108,1,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,IALOMIŢA,STELNICA,94492,2,FINAL,UAT,CL,CL_CE,"2024-06-20 11:57:08",1438,1400,0,0,38,885,847,0,0,38,857,28,1597,712,42,59,68,76,92,1,0,519,6,1,140,1,1,86,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,IALOMIŢA,SUDIŢI,94535,2,FINAL,UAT,CL,CL_CE,"2024-06-14 15:35:57",1640,1561,1,35,43,1236,1158,0,35,43,1184,34,1759,523,59,82,94,107,0,0,0,601,5,1,583,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,IALOMIŢA,TRAIAN,179702,2,FINAL,UAT,CL,CL_CE,"2024-06-13 18:08:06",2428,2323,1,19,85,1704,1602,1,19,82,1626,78,2663,959,81,113,130,122,34,0,0,648,5,0,944,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,IALOMIŢA,"VALEA CIORII",94688,2,FINAL,UAT,CL,CL_CE,"2024-06-12 18:59:27",1419,1354,1,15,49,1015,951,0,15,49,995,20,1536,521,49,69,79,90,0,0,0,603,6,1,304,3,0,88,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,IALOMIŢA,"VALEA MĂCRIŞULUI",105794,1,FINAL,UAT,CL,CL_CE,"2024-06-10 11:17:03",1262,1184,0,22,56,911,833,0,22,56,868,43,1365,454,43,60,69,78,0,0,0,630,8,0,45,0,1,193,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,IALOMIŢA,VLĂDENI,94795,1,FINAL,UAT,CL,CL_CE,"2024-06-10 16:10:06",1585,1567,0,4,14,1009,991,0,4,14,994,15,1734,725,49,69,79,90,0,0,0,779,8,1,215,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
