precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","FORȚA DREPTEI-voturi"
28,MUREŞ,"ŞCOALA GIMNAZIALĂ JABENIŢA",531,SOLOVĂSTRU,119590,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:33:34",995,970,4,14,7,591,570,0,14,7,554,37,1070,479,55,236,113,144,6
28,MUREŞ,"ŞCOALA GIMNAZIALĂ SOLOVĂSTRU",530,SOLOVĂSTRU,119590,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:10:50",1534,1503,7,11,13,855,831,0,11,13,817,38,1655,800,80,421,173,110,33
