precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","TUHUŢ CRISTIAN-voturi"
1,ALBA,"PRIMĂRIA COMUNEI CIURULEASA",236,CIURULEASA,4008,5,PART,PRCNCT,CL,CL_SV,"2024-06-10 15:44:18",599,555,0,23,21,453,409,0,23,21,440,13,613,160,302,28,86,24
1,ALBA,"ŞCOALA PRIMARĂ BUNINGINEA",237,CIURULEASA,4008,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:30:46",370,356,1,2,11,261,247,1,2,11,252,9,397,136,157,28,54,13
