precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ANDREICA DORIN-VASILE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","TICĂ DAN-ALEXANDRU-PARTIDUL NAȚIONAL LIBERAL-voturi","STAN DANIEL-CRISTIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","BLAGA DANIEL-CODRUŢ-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
16,DÂMBOVIŢA,"BIROURI PRIMĂRIE - CORP B (SALA CĂSĂTORII)",31,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:40:41",1042,1032,4,6,0,469,463,0,6,0,466,3,1150,681,19,54,321,72
16,DÂMBOVIŢA,"BIROURI PRIMĂRIE - SERVICIUL TAXE ȘI IMPOZITE, BLOC E4",29,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:04:26",800,791,1,8,0,379,371,0,8,0,374,5,870,491,15,31,280,48
16,DÂMBOVIŢA,"BIROURI PRIMĂRIE - SERVICIUL TAXE ȘI IMPOZITE (PUNCT TERMIC)",30,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:16:23",795,788,2,5,0,379,374,0,5,0,366,13,870,491,17,44,266,39
16,DÂMBOVIŢA,"CĂMINUL CULTURAL ”MATEI VOIEVOD”",64,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:12:43",1407,1397,3,7,0,600,593,0,7,0,587,13,1540,940,35,54,469,29
16,DÂMBOVIŢA,"CANTINA DE AJUTOR SOCIAL",24,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:29:22",938,928,0,10,0,378,368,0,10,0,373,5,1020,642,16,27,309,21
16,DÂMBOVIŢA,"CASA CORPULUI DIDACTIC",1,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:58:35",1528,1518,0,10,0,603,593,0,10,0,582,21,1683,1080,26,38,461,57
16,DÂMBOVIŢA,"CASA CORPULUI DIDACTIC",2,"MUNICIPIUL TÂRGOVIŞTE",65342,2,PART,PRCNCT,P,P_SV,"2024-06-10 05:59:25",1543,1537,1,4,1,719,715,0,4,0,698,21,1710,991,21,94,501,82
16,DÂMBOVIŢA,"COLEGIUL ECONOMIC ”ION GHICA”",32,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:17:55",976,951,15,9,1,467,457,0,9,1,455,12,1050,583,20,30,335,70
16,DÂMBOVIŢA,"COLEGIUL ECONOMIC ”ION GHICA”",33,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:45:28",1180,1170,0,9,1,539,529,0,9,1,527,12,1290,751,17,57,383,70
16,DÂMBOVIŢA,"COLEGIUL NAȚIONAL ”CONSTANTIN CARABELLA”",13,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:50:07",1004,998,0,6,0,490,484,0,6,0,481,9,1110,620,16,69,346,50
16,DÂMBOVIŢA,"COLEGIUL NAȚIONAL ”IENĂCHIȚĂ VĂCĂRESCU”",34,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,P,P_SV,"2024-06-10 12:38:53",1512,1504,3,5,0,674,669,0,5,0,657,17,1660,986,16,48,516,77
16,DÂMBOVIŢA,"COLEGIUL NAȚIONAL PEDAGOGIC ”CONSTANTIN CANTACUZINO”",53,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:40:08",677,667,0,10,0,286,276,0,10,0,284,2,725,439,12,9,248,15
16,DÂMBOVIŢA,"COLEGIUL NAȚIONAL PEDAGOGIC ”CONSTANTIN CANTACUZINO”",54,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:06:17",748,740,2,6,0,300,294,0,6,0,296,4,820,520,10,17,251,18
16,DÂMBOVIŢA,"COLEGIUL NAȚIONAL PEDAGOGIC ”CONSTANTIN CANTACUZINO”",52,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:46:37",1384,1377,0,7,0,615,608,0,7,0,604,11,1520,905,20,33,538,13
16,DÂMBOVIŢA,"COLEGIUL NAȚIONAL PEDAGOGIC ”CONSTANTIN CANTACUZINO”",51,"MUNICIPIUL TÂRGOVIŞTE",65342,2,PART,PRCNCT,P,P_SV,"2024-06-10 05:34:20",1232,1226,0,6,0,403,397,0,6,0,388,15,1360,957,22,18,334,14
16,DÂMBOVIŢA,"GRĂDINIȚA CU PROGRAM NORMAL NR. 11 ”PRISEACA”",65,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:25:40",1180,1175,3,2,0,572,570,0,2,0,560,12,1290,718,25,48,465,22
