precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"NECULA IOANA-PARTIDUL SOCIAL DEMOCRAT-voturi","ILIE MIHAI-ALEXANDRU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BUIBĂR IULIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","BURCEA MARIUS-PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALĂ RĂSCĂEŢI",357,RĂSCĂEŢI,179926,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:34:55",957,936,0,2,19,677,658,0,2,17,667,10,1050,373,55,30,555,27
16,DÂMBOVIŢA,"ŞCOALA PRIMARĂ DRĂGHINEASCA",356,RĂSCĂEŢI,179926,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:30:06",800,791,0,1,8,615,606,0,1,8,604,11,882,267,37,42,481,44
