precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA NAȚIONAL CREȘTINĂ-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
4,BACĂU,"CĂMINUL CULTURAL SATUL ONCEŞTI",478,ONCEŞTI,23868,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 13:41:55",733,724,0,7,2,393,384,0,7,2,360,30,700,310,41,46,224,27,22
4,BACĂU,"SALA DE FESTIVITĂŢI SATUL TARNIŢA",479,ONCEŞTI,23868,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:48:37",522,519,0,3,0,331,328,0,3,0,318,13,600,269,14,40,246,15,3
