precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARASCHIV BOGDAN-BERNARD-UNIUNEA SALVAȚI ROMÂNIA-voturi","RAHĂU SILVIU FLORIN-PARTIDUL SOCIAL DEMOCRAT-voturi","CONŢOLENCU CLAUDIU-CRISTIAN-PARTIDUL NAȚIONAL LIBERAL-voturi"
38,TULCEA,"ȘCOALA GIMNAZIALĂ CARAORMAN",111,CRIŞAN,160261,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:31:14",209,205,0,4,0,135,131,0,4,0,127,8,226,91,7,48,72
38,TULCEA,"ŞCOALA GIMNAZIALĂ CRISAN",110,CRIŞAN,160261,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:51:14",375,363,7,0,5,201,196,0,0,5,195,6,407,206,29,144,22
38,TULCEA,"ŞCOALA GIMNAZIALĂ MILA23",112,CRIŞAN,160261,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:10:32",376,373,0,3,0,247,244,0,3,0,235,12,411,164,12,191,32
