precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"IONIŢĂ NICOLAE-PARTIDUL NAȚIONAL LIBERAL-voturi","DRĂGAN AURELIA-PARTIDUL SOCIAL DEMOCRAT-voturi"
14,CONSTANŢA,"CĂMINUL CULTURAL TICHILEȘTI",452,HORIA,63278,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:10:33",248,242,0,5,1,124,118,0,5,1,123,1,268,144,97,26
14,CONSTANŢA,"GRADINITA NR.FN",451,HORIA,63278,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:36:19",642,625,0,9,8,397,380,0,9,8,388,9,701,304,288,100
