precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA DEMOCRATICĂ A SLOVACILOR ȘI CEHILOR DIN ROMÂNIA-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","CRIŞAN GAVRIL-voturi"
33,SĂLAJ,"CĂMINUL CULTURAL FĂGETU",246,PLOPIŞ,142337,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:37:52",509,496,0,6,7,267,254,0,6,7,250,17,560,293,53,33,150,2,3,0,6,3
33,SĂLAJ,"CĂMINUL CULTURAL PLOPIȘ",245,PLOPIŞ,142337,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:06:47",821,792,3,21,5,512,491,0,16,5,477,35,870,358,178,77,13,48,103,41,4,13
33,SĂLAJ,"CENTRUL CULTURAL IAZ",247,PLOPIŞ,142337,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:38:37",622,603,0,6,13,343,324,0,6,13,331,12,670,327,174,82,25,13,17,6,5,9
