precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL S.O.S. ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi"
36,TELEORMAN,"CĂMIN CULTURAL",115,BRÂNCENI,152252,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 15:10:40",1223,1155,1,16,51,901,834,0,16,51,763,71,1338,504,23,29,626,2,83
36,TELEORMAN,"CĂMIN CULTURAL",121,BUZESCU,152332,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:32:48",1208,1074,1,81,52,774,641,0,81,52,752,22,1240,466,14,34,498,6,200
36,TELEORMAN,"CĂMIN CULTURAL",256,RĂDOIEŞTI,153865,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:30:29",474,442,0,6,26,282,250,0,6,26,280,2,510,228,1,5,219,1,54
36,TELEORMAN,"CĂMIN CULTURAL",147,CRÂNGENI,152617,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:33:15",1113,1067,0,1,45,591,552,0,1,38,545,46,1180,589,29,24,180,39,273
36,TELEORMAN,"CĂMIN CULTURAL",141,CIUPERCENI,151709,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-17 16:14:23",755,681,0,39,35,509,435,0,39,35,488,21,790,281,9,22,364,9,84
36,TELEORMAN,"CĂMIN CULTURAL",300,TALPA,154521,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:26:15",689,532,0,82,75,617,460,0,82,75,606,11,670,53,6,8,223,9,360
36,TELEORMAN,"CĂMIN CULTURAL CONŢEŞTI",144,CONŢEŞTI,152564,5,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 22:28:01",1225,1156,0,11,58,802,733,0,11,58,771,30,1270,469,15,26,651,7,72
36,TELEORMAN,"CĂMIN CULTURAL CUCUEŢI",272,SCRIOAŞTEA,154013,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 18:10:21",701,645,0,32,24,514,458,0,32,24,507,7,700,186,8,10,463,11,15
36,TELEORMAN,"CĂMIN CULTURAL SAT PURANI",331,VITĂNEŞTI,153776,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:38:03",567,519,1,13,34,337,290,0,13,34,320,17,605,268,14,52,210,9,35
36,TELEORMAN,"CĂMIN CULTURAL SAT SILIŞTEA",332,VITĂNEŞTI,153776,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:09:28",663,560,1,29,73,416,314,0,29,73,416,0,695,279,0,1,386,0,29
36,TELEORMAN,"CĂMIN CULTURAL SCRIOAȘTEA",270,SCRIOAŞTEA,154013,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:55:53",1750,1209,437,58,46,1313,1209,0,58,46,1295,18,1920,607,13,25,1203,14,40
36,TELEORMAN,"CĂMIN CULTURAL STEJARU",291,STEJARU,154415,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:55:03",638,566,0,36,36,427,359,0,34,34,418,9,610,183,9,68,308,4,29
36,TELEORMAN,"CĂMINUL CULTURAL",333,ZÂMBREASCA,154978,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:05:37",744,669,0,3,72,480,405,0,3,72,456,24,735,255,6,14,260,5,171
36,TELEORMAN,"CĂMINUL CULTURAL",242,PLOSCA,153605,5,PROV,PRCNCT,CJ,CJ_SV,"2024-06-14 21:15:18",1207,1185,1,12,9,864,843,0,12,9,842,22,1130,266,30,49,447,32,284
36,TELEORMAN,"CĂMINUL CULTURAL",184,ISLAZ,151736,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:54:34",1066,1040,1,15,10,630,605,0,15,10,602,28,1120,490,13,44,279,46,220
36,TELEORMAN,"CĂMINUL CULTURAL",313,TROIANUL,154790,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:17:10",39,23,0,11,5,39,23,0,11,5,35,4,55,16,1,4,21,6,3
36,TELEORMAN,"CĂMINUL CULTURAL",120,BUJORU,152314,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 13:41:05",780,686,0,46,48,692,598,0,46,48,545,50,750,155,13,40,217,4,271
36,TELEORMAN,"CĂMINUL CULTURAL",113,BRAGADIRU,152234,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:28:39",930,882,0,7,41,567,519,0,7,41,563,4,970,403,9,42,473,13,26
36,TELEORMAN,"CĂMINUL CULTURAL BALCI",92,BALACI,151996,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 13:01:31",753,644,0,62,47,508,399,0,62,47,483,25,700,192,12,106,303,8,54
36,TELEORMAN,"CĂMINUL CULTURAL BEUCA",98,BEUCA,155092,6,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 13:42:55",876,704,1,76,95,666,494,1,76,95,644,20,880,216,8,22,332,29,253
36,TELEORMAN,"CĂMINUL CULTURAL BUJORENI",117,BUJORENI,152270,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:18:20",409,374,0,25,10,198,163,0,25,10,188,10,420,222,7,11,132,10,28
36,TELEORMAN,"CĂMINUL CULTURAL DIDEȘTI",155,DIDEŞTI,152724,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:56:21",948,849,0,45,54,669,570,0,45,54,650,19,930,261,14,46,95,5,490
36,TELEORMAN,"CĂMINUL CULTURAL DIN SATUL CRÂNGU",151,CRÂNGU,152662,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 17:16:26",948,832,0,59,57,464,348,0,59,57,457,7,906,442,9,13,391,1,43
36,TELEORMAN,"CĂMINUL CULTURAL FRUMOASA",174,FRUMOASA,152993,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:24:27",705,671,0,12,22,510,476,0,12,22,483,27,760,250,22,16,310,20,115
36,TELEORMAN,"CĂMINUL CULTURAL GĂRĂGĂU",321,VÂRTOAPE,154932,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 16:13:19",541,496,0,20,25,405,360,0,20,25,403,2,550,145,0,0,238,0,165
36,TELEORMAN,"CĂMINUL CULTURAL GURUIENI",200,MĂGURA,153240,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 14:39:00",719,691,1,9,18,485,458,0,9,18,470,15,760,275,10,66,345,3,46
