precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi"
9,BRĂILA,"SCOALA GIMNAZIALA TICHILESTI",250,TICHILEŞTI,44177,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 13:48:25",1367,1347,1,6,13,809,790,0,6,13,781,28,1511,702,27,430,144,158,22
9,BRĂILA,"SCOALA GIMNAZIALA TICHILESTI",251,TICHILEŞTI,44177,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:11:10",1322,1305,0,0,17,726,709,0,0,17,683,43,1454,728,21,382,164,105,11
9,BRĂILA,"SCOALA PRIMARA ALBINA",252,TICHILEŞTI,44177,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:14:01",265,259,0,6,0,164,158,0,6,0,162,2,285,121,7,80,66,8,1
