precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"NIŢU ION-PARTIDUL NAȚIONAL LIBERAL-voturi","BARCAN MILICĂ-PARTIDUL SOCIAL DEMOCRAT-voturi"
19,GIURGIU,"SCOALA GIMNAZIALA DUMITRU CONSTANTIN MIHAI BRAVU",178,"MIHAI BRAVU",104118,2,PART,PRCNCT,P,P_SV,"2024-06-11 15:46:24",1049,963,2,45,39,711,628,1,45,37,696,15,1098,387,664,32
19,GIURGIU,"SCOALA GIMNAZIALA DUMITRU CONSTANTIN MIHAI BRAVU",179,"MIHAI BRAVU",104118,2,PART,PRCNCT,P,P_SV,"2024-06-11 15:59:06",854,775,0,40,39,575,496,0,40,39,574,1,897,322,535,39
