precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi"
13,CLUJ,"CAMIN CULTURAL AITON",301,AITON,55598,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:05:01",564,506,2,39,17,355,298,1,39,17,341,14,528,173,21,164,83,73
13,CLUJ,"CAMIN CULTURAL REDIU",302,AITON,55598,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 02:32:18",378,354,2,14,8,218,196,0,14,8,211,7,375,156,35,134,2,40
