precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BIBAN FLOREL-PARTIDUL NAȚIONAL LIBERAL-voturi","PANTELIMON GELU-PARTIDUL SOCIAL DEMOCRAT-voturi","SAVA ADEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ILIESCU NICOLAE-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
27,MEHEDINŢI,"ŞCOALA GENERALĂ V-VIII SALCIA",254,SALCIA,113493,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:42:56",1196,1073,1,31,91,755,633,0,31,91,730,25,1182,427,207,431,68,24
27,MEHEDINŢI,"ŞCOALA GENERALĂ V-VIII SALCIA",255,SALCIA,113493,1,PROV,PRCNCT,P,P_SV,"2024-06-10 11:57:16",1228,1132,0,37,59,746,650,0,37,59,697,49,1246,497,162,427,84,24
