precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","NICU ADRIAN-ALBERT-voturi"
30,OLT,"GRĂDINIŢA SLĂTIOARA",307,SLĂTIOARA,125374,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:05:08",998,904,1,63,30,749,655,1,63,30,687,35,1025,303,148,450,89
30,OLT,"GRĂDINIŢA SLĂTIOARA",306,SLĂTIOARA,125374,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:59:09",1045,990,1,50,4,783,729,0,50,4,765,18,1085,302,265,369,131
30,OLT,"ŞCOALA GENERALĂ SALCIA",308,SLĂTIOARA,125374,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:04:35",346,328,0,15,3,230,212,0,15,3,217,12,359,129,44,139,34
