precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"STOENESCU SERGIU-PARTIDUL NAȚIONAL LIBERAL-voturi","ENACHE VALENTIN-PARTIDUL SOCIAL DEMOCRAT-voturi","MOCANU VALENTIN-NICOLAE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
36,TELEORMAN,"GRĂDINIȚA CU PROGRAM NORMAL NR. 1",209,MERENI,153295,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:47:19",770,745,0,2,23,427,402,0,2,23,413,14,825,342,329,29,55
36,TELEORMAN,"SCOALA GIMNAZIALĂ CU CLASELE I-VIII MERENII DE JOS",208,MERENI,153295,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:47:10",1214,1178,0,5,31,778,742,0,5,31,769,9,1296,518,691,13,65
