precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"STANCU CRISTIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","STAN IONUŢ-PARTIDUL NAȚIONAL LIBERAL-voturi"
12,CĂLĂRAŞI,"CAMIN CULTURAL",162,LEHLIU,93851,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:19:22",1386,1321,0,26,39,937,872,0,26,39,905,32,1329,392,191,714
12,CĂLĂRAŞI,"SCOALA SAPUNARI",163,LEHLIU,93851,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:46:50",626,576,0,13,37,454,404,0,13,37,436,18,800,346,192,244
