precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"GHEORGHE MIHAI-PARTIDUL NAȚIONAL LIBERAL-voturi","CONCIOIU NICOLAE-PARTIDUL SOCIAL DEMOCRAT-voturi"
40,VÂLCEA,"CĂMINUL CULTURAL GUŞOIANCA",255,GUŞOENI,170444,2,PART,PRCNCT,P,P_SV,"2024-06-10 04:54:58",431,399,0,15,17,278,246,0,15,17,262,16,440,162,30,232
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ GUŞOENI",256,GUŞOENI,170444,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:27:00",718,645,1,30,42,451,378,1,30,42,439,12,710,259,35,404
