precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"SANDULEAC CĂTĂLIN-PARTIDUL NAȚIONAL LIBERAL-voturi","GRIGORICIUC PAUL-SILVIU-PARTIDUL SOCIAL DEMOCRAT-voturi","MACIUC FLORIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","MARICI GHEORGHE-UNIUNEA UCRAINENILOR DIN ROMÂNIA-voturi","HAPENCIUC DINU-CRISTIAN-ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","CORNICIUC ION-voturi"
35,SUCEAVA,"CAMIN CULTURAL SERBAUTI",489,ŞERBĂUŢI,151460,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:21:04",1647,1605,1,6,35,822,781,0,6,35,774,48,1820,998,190,141,303,19,30,91
35,SUCEAVA,"ȘCOALA GIMNAZIALĂ CĂLINEȘTI",490,ŞERBĂUŢI,151460,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:14:33",976,946,0,4,26,565,535,0,4,26,541,24,1062,497,281,38,79,2,4,137
