precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA UCRAINENILOR DIN ROMÂNIA-voturi","COMUNITATEA RUȘILOR LIPOVENI DIN ROMÂNIA-voturi","POTRIVITU VALENTIN-voturi"
38,TULCEA,"ŞCOALA GIMNAZIALĂ",88,"C.A. ROSETTI",159883,4,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:17:47",204,196,0,6,2,92,84,0,6,2,81,11,216,124,45,11,15,8,2,0
38,TULCEA,"ŞCOALA PRIMARĂ",90,"C.A. ROSETTI",159883,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:00:52",154,152,0,1,1,77,75,0,1,1,66,10,167,91,12,23,3,2,22,4
38,TULCEA,"ŞCOALA PRIMARĂ",89,"C.A. ROSETTI",159883,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:29:36",231,227,0,3,1,137,133,0,3,1,127,5,235,103,37,6,46,8,5,25
