precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MARCUŞANU EMILIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","BADEA SILVIU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","TĂNASE ADRIANA-VIOLETA-PARTIDUL NAȚIONAL LIBERAL-voturi","IONESCU VIOLETA-CĂTĂLINA-FORȚA DREPTEI-voturi"
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ NR.1 OLTENI",221,OLTENI,153473,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:10:30",1500,1444,0,51,5,1107,1051,0,51,5,1022,29,1585,534,249,363,15,395
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ NR.2 PERII-BROŞTENI",222,OLTENI,153473,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:39:57",865,836,0,26,3,624,595,0,26,3,618,6,910,286,293,131,12,182
