precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL PRO ROMÂNIA-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","FORȚA DREPTEI-voturi"
32,"SATU MARE","SCOALA CU CLASELE I-VIII NISIPENI",222,LAZURI,137960,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:01:54",728,721,0,3,4,405,398,0,3,4,394,11,800,395,9,15,4,364,1,0,0,1
32,"SATU MARE","SCOALA CU CLASELE I-VIII NR. 2",316,TURŢ,139170,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:37:37",1426,1411,0,10,5,598,583,0,10,5,539,59,1560,962,85,50,249,6,8,132,8,1
32,"SATU MARE","SCOALA CU CLASELE I-VIII PELES",224,LAZURI,137960,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:39:44",758,750,0,5,3,440,432,0,5,3,420,20,800,360,14,23,4,377,1,1,0,0
32,"SATU MARE","SCOALA CU CLASELE I-VIII SAUCA",286,SĂUCA,138805,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:29:32",320,305,0,10,5,238,223,0,10,5,218,20,320,82,20,123,48,18,1,5,2,1
32,"SATU MARE","ŞCOALA CU CL. I-VIII GH. BULGĂR-SANISLĂU",278,SANISLĂU,138663,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:23:22",1279,1267,0,5,7,739,727,0,5,7,584,155,1380,640,63,115,99,246,4,26,31,0
32,"SATU MARE","SCOALA CU CLS.I-IV CEAN",288,SĂUCA,138805,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:12:19",234,226,1,5,2,156,148,1,5,2,148,8,231,75,14,59,58,12,1,4,0,0
32,"SATU MARE","SCOALA CU CLS. I-IV IEGHERISTE",185,CRUCIŞOR,137504,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:24:45",416,382,0,10,24,322,288,0,10,24,300,21,450,129,29,96,79,17,24,19,14,22
32,"SATU MARE","ŞCOALA CU CLS.I-VIII HALMEU",206,HALMEU,137764,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:38:44",1361,1336,0,11,14,608,583,0,11,14,562,46,1500,892,76,127,116,208,5,17,9,4
32,"SATU MARE","ŞCOALA CU CLS.I-VIII HALMEU",205,HALMEU,137764,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:06:13",1659,1617,5,9,28,739,701,1,9,28,698,41,1841,1102,20,148,149,267,2,93,12,7
32,"SATU MARE","SCOALA DARA",200,DOROLŢ,137675,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:30:46",1046,1011,1,5,29,714,680,0,5,29,688,26,1110,396,7,9,1,669,0,2,0,0
32,"SATU MARE","ŞCOALA DE GIMNAZIALĂ BEM JOZSEF CĂRĂŞEU",189,CULCIU,137540,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:48:15",948,916,0,7,25,549,517,0,7,25,529,20,1021,472,11,45,83,381,1,3,3,2
32,"SATU MARE","SCOALA GENERALA",240,MOFTIN,138208,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:41:56",1019,985,2,21,11,478,446,0,21,11,433,45,1000,522,49,98,92,181,2,5,5,1
32,"SATU MARE","SCOALA GENERALA",230,"MEDIEŞU AURIT",138084,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:11:33",255,246,1,7,1,136,128,0,7,1,132,4,370,234,23,37,49,3,2,5,5,8
32,"SATU MARE","SCOALA GENERALA",233,"MEDIEŞU AURIT",138084,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:30:16",579,564,0,7,8,336,321,0,7,8,317,19,600,264,15,76,110,76,4,13,10,13
32,"SATU MARE","SCOALA GENERALA",231,"MEDIEŞU AURIT",138084,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:49:17",165,156,0,9,0,94,85,0,9,0,87,7,200,106,13,27,34,6,0,4,0,3
32,"SATU MARE","SCOALA GENERALA",229,"MEDIEŞU AURIT",138084,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:00:00",944,918,3,9,14,456,433,0,9,14,412,44,1000,544,27,58,161,148,0,7,3,8
32,"SATU MARE","SCOALA GENERALA",232,"MEDIEŞU AURIT",138084,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:08:52",825,794,0,12,19,480,449,0,12,19,447,33,850,370,26,95,178,113,3,13,3,16
32,"SATU MARE","ȘCOALA GENERALĂ",274,RACŞA,180091,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:23:15",1155,1108,0,5,42,525,478,0,5,42,498,27,1200,675,156,292,15,4,3,25,1,2
32,"SATU MARE","ȘCOALA GENERALĂ",169,CĂUAŞ,137292,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:58:56",78,68,0,9,1,44,34,0,9,1,41,3,100,56,5,19,9,4,0,2,1,1
