precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"FORȚA DREPTEI-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ NR.1 OLTENI",221,OLTENI,153473,2,PART,PRCNCT,CL,CL_SV,"2024-06-13 18:33:11",1500,1444,0,51,5,1107,1051,0,51,5,1066,41,1585,478,411,21,253,381
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ NR.2 PERII-BROŞTENI",222,OLTENI,153473,2,PART,PRCNCT,CL,CL_SV,"2024-06-13 19:03:41",865,836,0,26,3,624,595,0,26,3,611,13,910,286,168,27,278,138
