precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi"
11,CARAŞ-SEVERIN,"CASA DE CULTURĂ",202,CIUCHICI,51984,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:29:21",422,389,0,23,10,422,389,0,23,10,256,18,367,93,60,16,180
11,CARAŞ-SEVERIN,"CASA DE CULTURĂ",203,CIUCHICI,51984,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:44:28",87,56,0,26,5,87,56,0,26,5,84,3,103,16,12,1,71
11,CARAŞ-SEVERIN,"CLĂDIRE ADMINISTRATIVĂ PETRILOVA",205,CIUCHICI,51984,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:33:55",153,113,0,39,1,130,90,0,39,1,126,4,162,32,27,2,97
11,CARAŞ-SEVERIN,"ȘCOALA NICOLINȚ (CORP CLĂDIRE B), NIVEL PRIMAR",204,CIUCHICI,51984,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:17:17",303,281,2,15,5,175,155,0,15,5,162,13,311,136,62,21,79
