precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"STÎNGĂ ION-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","SUCEA ION-ALIN-PARTIDUL NAȚIONAL LIBERAL-voturi","ILIESCU VICTOR-DUMITRU-UNIUNEA SALVAȚI ROMÂNIA-voturi","STAMATOIU ION-GRIGORE-PARTIDUL SOCIAL DEMOCRAT-voturi","DIACONESCU MARIAN-PETRE-PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
20,GORJ,"CĂMINUL CULTURAL BOBU",297,SCOARŢA,81861,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:17:25",998,950,2,32,14,620,573,1,32,14,605,15,1000,380,18,169,34,382,2
20,GORJ,"CĂMINUL CULTURAL BUDIENI",298,SCOARŢA,81861,3,PART,PRCNCT,P,P_SV,"2024-06-12 12:05:55",671,609,0,46,16,448,386,0,46,16,440,8,700,252,4,71,12,351,2
20,GORJ,"CĂMINUL CULTURAL POMPILIU MARCEA",296,SCOARŢA,81861,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:20:28",775,712,0,43,20,477,417,0,43,17,470,7,800,323,15,172,9,272,2
20,GORJ,"ŞCOALA PRIMARĂ COPĂCIOASA",299,SCOARŢA,81861,2,PART,PRCNCT,P,P_SV,"2024-06-10 06:00:29",766,725,1,30,10,487,447,0,30,10,476,11,800,313,13,149,5,298,11
20,GORJ,"ŞCOALA PRIMARĂ PIŞTEŞTII DIN DEAL",300,SCOARŢA,81861,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:59:27",898,871,0,16,11,402,375,0,16,11,360,42,964,562,14,93,1,251,1
