precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"OANE IULICĂ-PARTIDUL SOCIAL DEMOCRAT-voturi","DĂDULESCU SOFI-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","NEACŞU CĂTĂLIN-ADRIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","GĂLAN GIGI-UNIUNEA SALVAȚI ROMÂNIA-voturi","CUCU CATELUŢA-PATRICIA-PARTIDUL PRO ROMÂNIA-voturi"
30,OLT,"COLEGIUL NAŢIONALAL I.CUZA",85,"ORAŞ CORABIA",125542,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:33:53",1119,1112,0,7,0,565,558,0,7,0,530,28,1208,650,267,24,195,25,19
30,OLT,"COLEGIUL NAŢIONALAL I.CUZA",84,"ORAŞ CORABIA",125542,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:13:43",846,837,2,7,0,396,389,0,7,0,381,15,938,542,201,15,122,18,25
30,OLT,"GRĂDINIŢA SAT VÎRTOPU,CORP 2",92,"ORAŞ CORABIA",125542,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:03:43",316,298,0,18,0,178,160,0,18,0,166,9,331,156,108,12,30,4,12
30,OLT,"ŞCOALA CARTIER SILIŞTIOARA",90,"ORAŞ CORABIA",125542,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:04:33",392,368,0,11,13,234,210,0,11,13,225,9,422,188,145,19,41,7,13
30,OLT,"SCOALA CORABIA VECHE",88,"ORAŞ CORABIA",125542,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:18:24",1432,1407,2,7,16,687,663,1,7,16,667,20,1539,852,313,42,243,43,26
30,OLT,"ŞCOALA GIMNAZIALĂ CELEIU",89,"ORAŞ CORABIA",125542,2,PART,PRCNCT,P,P_SV,"2024-06-10 11:42:26",1380,1354,0,0,26,790,764,0,0,26,751,39,1478,688,515,32,150,22,32
30,OLT,"ŞCOALA GIMNAZIALĂ DUMITRU BUZDUN",80,"ORAŞ CORABIA",125542,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:55:07",1151,1136,1,5,9,644,630,0,5,9,621,22,1240,587,360,13,177,32,39
30,OLT,"ŞCOALA GIMNAZIALĂ MIHAIL EMINESCU",86,"ORAŞ CORABIA",125542,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:26:07",1186,1176,0,7,3,489,479,0,7,3,439,48,1289,802,228,20,155,11,25
30,OLT,"ŞCOALA GIMNAZIALĂMIHAIL EMINESCU",87,"ORAŞ CORABIA",125542,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:58:22",1066,1052,1,8,5,413,399,1,8,5,394,19,1149,736,196,28,134,15,21
30,OLT,"ŞCOALA GIMNAZIALĂ SAT TUDOR VLADIMIRESCU",91,"ORAŞ CORABIA",125542,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:21:23",195,190,0,5,0,195,190,0,5,0,174,21,497,302,86,12,45,18,13
30,OLT,"SCOALA GIMNAZIALAVIRGIL MAZILESCU",81,"ORAŞ CORABIA",125542,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:33:14",984,974,3,4,3,420,413,0,4,3,400,20,1049,629,226,16,120,19,19
30,OLT,"ŞCOALA GIMNAZIALĂ VIRGIL MAZILESCU",82,"ORAŞ CORABIA",125542,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:25:00",1090,1068,4,12,6,515,496,1,12,6,491,24,1166,651,280,22,137,23,29
30,OLT,"ŞCOALA GIMNAZIALĂ VIRGIL MAZILESCU",83,"ORAŞ CORABIA",125542,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:32:29",884,869,1,10,4,410,396,0,10,4,383,27,941,531,190,12,138,16,27
30,OLT,"SPĂLĂTORIE SOCIALĂ",79,"ORAŞ CORABIA",125542,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:03:59",1402,1384,0,14,4,613,595,0,14,4,545,67,1528,916,279,29,178,26,33
