precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BELIGĂR DAN-GHEORGHE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ROVINAR MIRCEA-ION-PARTIDUL NAȚIONAL LIBERAL-voturi","BEDEA CAMELIA-PARTIDUL SOCIAL DEMOCRAT-voturi","VRACI MARIN-PARTIDUL PRO ROMÂNIA-voturi"
22,HUNEDOARA,"CĂMINUL CULTURAL DEALU MARE",509,VĂLIŞOARA,91937,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:07:55",154,142,0,7,5,126,114,0,7,5,124,2,161,35,2,26,90,6
22,HUNEDOARA,"CĂMINUL CULTURAL SĂLIŞTIOARA",510,VĂLIŞOARA,91937,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:20:56",232,226,0,5,1,157,151,0,5,1,150,7,251,94,10,38,100,2
22,HUNEDOARA,"CĂMINUL CULTURAL VĂLIŞOARA",508,VĂLIŞOARA,91937,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:26:31",605,563,0,26,16,414,372,0,26,16,404,7,631,220,10,107,264,23
