precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
4,BACĂU,"CABINET MEDICAL",582,SOLONŢ,25488,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:07:26",654,648,0,4,2,283,277,0,4,2,270,13,700,417,155,63,33,19
4,BACĂU,"ŞCOALA CU CLASELE I-VIII SATUL CUCUIEȚI",581,SOLONŢ,25488,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:50:29",964,957,0,4,3,476,469,0,4,3,455,21,1100,624,323,69,25,38
4,BACĂU,"ŞCOALA CU CLASELE I-VIII SATUL SOLONŢ",580,SOLONŢ,25488,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:47:53",1181,1175,0,2,4,557,551,0,2,4,527,30,1200,643,264,84,74,105
