precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"RICIU NECULAI-PARTIDUL SOCIAL DEMOCRAT-voturi","ROTARU NICOLAE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BARBĂLATĂ DOBRIŢA-PARTIDUL NAȚIONAL LIBERAL-voturi","NEDELCU GHEORGHE-UNIUNEA SALVAȚI ROMÂNIA-voturi","ŢÂRLEA VALENTIN-FORȚA DREPTEI-voturi","HÎNGU MARIA-MIRELA-PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
41,VRANCEA,"GRĂDINIȚA CU PROGRAM NORMAL GOLOGANU",178,GOLOGANU,178938,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:00:01",1136,1115,0,8,13,647,626,0,8,13,617,30,1239,592,321,145,77,30,25,19
41,VRANCEA,"ȘCOALA GIMNAZIALĂ ”PROFESOR GENERAL GHEORGHE GHEORGHIU” GOLOGANU",179,GOLOGANU,178938,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:46:42",1374,1355,0,6,13,854,835,0,6,13,811,43,1504,650,402,197,123,32,37,20
