precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL ROMÂNIA PUTERNICĂ-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","UDREA IACOB-voturi"
37,TIMIŞ,"CĂMINUL CULTURAL LIEBLING",454,LIEBLING,157497,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:41:56",1514,1501,2,4,7,742,730,1,4,7,688,54,1676,934,244,184,11,37,54,98,60
37,TIMIŞ,"CĂMINUL CULTURAL SATUL IOSIF",457,LIEBLING,157497,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:04:51",328,325,0,2,1,174,172,0,2,0,171,3,400,226,55,47,12,8,17,26,6
37,TIMIŞ,"CLADIREA FOSTEI PRIMARII DIN CERNA",456,LIEBLING,157497,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:19:49",206,199,0,7,0,112,105,0,7,0,107,5,200,88,66,19,3,12,4,3,0
37,TIMIŞ,"ȘCOALA GIMNAZIALĂ LIEBLING",455,LIEBLING,157497,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:53:42",1307,1292,3,7,5,697,682,3,7,5,661,28,1400,711,267,145,10,48,70,77,44
