precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"KÓCZA ISTVÁN-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi"
5,BIHOR,"PRIMĂRIA BUDUSLĂU",280,BUDUSLĂU,27908,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:22:08",822,810,0,0,12,475,463,0,0,12,447,28,904,429,447
5,BIHOR,"ŞCOALA GENERALĂ ALBIŞ",281,BUDUSLĂU,27908,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:01:06",770,747,0,0,23,449,426,0,0,23,411,38,844,395,411
