precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL MIȘCAREA ROMÂNIA SUVERANĂ-voturi"
15,COVASNA,"CĂMINUL CULTURAL NR.1 ZAGON",206,ZAGON,65011,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 10:57:31",1623,1527,1,23,72,1140,1044,1,23,72,1085,55,1800,660,52,979,30,5,9,10
15,COVASNA,"CĂMINUL CULTURAL PĂPĂUŢI",208,ZAGON,65011,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:27:24",989,965,2,3,19,601,579,0,3,19,584,17,1100,499,140,296,39,84,15,10
15,COVASNA,"ŞCOALA PRIMARĂ ”GEORGE COŞBUC” ZAGON",207,ZAGON,65011,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:58:32",1475,1456,1,5,13,764,747,0,5,12,688,76,1583,819,163,99,289,23,47,67
