precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DULCE MARIUS-GRIGORE-PARTIDUL SOCIAL DEMOCRAT-voturi","GIURCAN AMELIA-ELENA-UNIUNEA SALVAȚI ROMÂNIA-voturi","DRĂGULIN ALIN-BOGDAN-PARTIDUL NAȚIONAL LIBERAL-voturi","COMAN DRAGOŞ-FLORIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","DUMITRU COSMIN-PARTIDUL PRO ROMÂNIA-voturi","DUMITRU THEODOR-CRISTIAN-PARTIDUL S.O.S. ROMÂNIA-voturi","CONSTANTIN NICHI-LAURENŢIU-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","COMAN LIVIU-ALIANȚA PMP - FORȚA DREPTEI-voturi"
12,CĂLĂRAŞI,"CANTINA DE AJUTOR SOCIAL",50,"MUNICIPIUL CĂLĂRAŞI",92569,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:00:15",546,538,0,8,0,250,242,0,8,0,230,20,592,342,117,5,29,68,2,4,2,3
12,CĂLĂRAŞI,"CENTRUL JUDEŢEAN DE RESURSE ŞI ASISTENŢĂ EDUCAŢIONALĂ CĂLĂRAŞI",4,"MUNICIPIUL CĂLĂRAŞI",92569,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:36:57",727,720,1,6,0,363,357,0,6,0,348,15,720,357,161,32,60,62,3,10,5,15
12,CĂLĂRAŞI,"CENTRUL JUDEŢEAN DE RESURSE ŞI ASISTENŢĂ EDUCAŢIONALĂ CĂLĂRAŞI",3,"MUNICIPIUL CĂLĂRAŞI",92569,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:18:54",995,942,1,10,42,455,403,0,10,42,444,11,1035,580,193,43,111,68,2,8,5,14
12,CĂLĂRAŞI,"COLEGIUL ECONOMIC SEDIU",51,"MUNICIPIUL CĂLĂRAŞI",92569,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:58:20",1299,1285,5,9,0,651,642,0,9,0,630,21,1429,778,302,58,122,103,3,16,14,12
12,CĂLĂRAŞI,"COLEGIUL ECONOMIC SEDIUL B",43,"MUNICIPIUL CĂLĂRAŞI",92569,2,PART,PRCNCT,P,P_SV,"2024-06-10 16:47:55",1058,1047,0,10,1,471,460,0,10,1,463,8,1157,686,221,33,65,117,0,13,4,10
12,CĂLĂRAŞI,"COLEGIUL NAŢIONAL ” BARBU ŞTIRBEI” CĂLĂRAŞI",34,"MUNICIPIUL CĂLĂRAŞI",92569,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:22:15",1234,1219,2,13,0,538,525,0,13,0,524,14,1341,803,228,27,115,112,4,14,8,16
12,CĂLĂRAŞI,"COLEGIUL NAŢIONAL ” BARBU ŞTIRBEI” CĂLĂRAŞI",35,"MUNICIPIUL CĂLĂRAŞI",92569,2,PART,PRCNCT,P,P_SV,"2024-06-10 14:16:31",1069,1060,0,9,0,488,479,0,9,0,482,6,1166,678,198,38,81,120,5,19,14,7
12,CĂLĂRAŞI,"CREŞA NR. 1 CĂLĂRAŞI ( FOSTA CREŞA SĂPTĂMÂNALĂ CU 100 LOCURI)",29,"MUNICIPIUL CĂLĂRAŞI",92569,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:55:59",735,725,0,10,0,275,265,0,10,0,264,11,855,580,87,8,73,80,0,7,7,2
12,CĂLĂRAŞI,"CREŞA NR. 1 CĂLĂRAŞI ( FOSTA CREŞA SĂPTĂMÂNALĂ CU 100 LOCURI)",28,"MUNICIPIUL CĂLĂRAŞI",92569,2,PART,PRCNCT,P,P_SV,"2024-06-10 18:14:50",1338,1329,0,9,0,534,525,0,9,0,505,29,1464,930,194,37,82,144,6,29,5,8
12,CĂLĂRAŞI,"GRĂDINIŢA CU PR.NORMAL NR.4 CALARASI",8,"MUNICIPIUL CĂLĂRAŞI",92569,3,PART,PRCNCT,P,P_SV,"2024-06-10 17:04:40",1464,1451,6,7,0,641,634,0,7,0,599,42,1596,955,313,27,94,113,5,33,7,7
12,CĂLĂRAŞI,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”ARICEL” CĂLĂRAŞI",42,"MUNICIPIUL CĂLĂRAŞI",92569,2,PART,PRCNCT,P,P_SV,"2024-06-10 15:00:21",750,740,0,10,0,325,315,0,10,0,316,9,814,489,147,34,42,52,3,9,9,20
12,CĂLĂRAŞI,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”ROSTOGOL” CĂLĂRAŞI(FOSTA GRĂDINIŢA CU PROGRAM NORMAL NR.2)",23,"MUNICIPIUL CĂLĂRAŞI",92569,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:22:43",1581,1572,1,8,0,662,654,0,8,0,646,16,1727,1065,341,29,117,109,8,20,10,12
12,CĂLĂRAŞI,"GRĂDINIŢA CU PROGRAM PRELUNGIT STEP BY STEP CĂLĂRAŞI (FOSTA GRĂDINIŢA CU PR. PREL. MICRO6)",9,"MUNICIPIUL CĂLĂRAŞI",92569,2,PART,PRCNCT,P,P_SV,"2024-06-10 21:52:22",1227,1222,0,5,0,571,566,0,5,0,542,29,1344,773,269,31,123,72,8,19,6,14
12,CĂLĂRAŞI,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”ŢARA COPILĂRIEI” CĂLĂRAŞI(FOSTA GRĂDINIŢĂ CU PR. PREL. NR.1)",22,"MUNICIPIUL CĂLĂRAŞI",92569,2,PART,PRCNCT,P,P_SV,"2024-06-10 13:44:59",1019,1010,0,9,0,478,469,0,9,0,466,12,1111,633,228,25,99,70,7,12,8,17
12,CĂLĂRAŞI,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”VOINICEL” CĂLĂRAŞI",40,"MUNICIPIUL CĂLĂRAŞI",92569,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:48:56",1428,1416,2,9,1,650,640,0,9,1,633,17,1559,909,325,19,108,126,1,25,14,15
12,CĂLĂRAŞI,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”VOINICEL” CĂLĂRAŞI",41,"MUNICIPIUL CĂLĂRAŞI",92569,2,PART,PRCNCT,P,P_SV,"2024-06-10 22:21:24",1066,1058,0,7,1,505,497,0,7,1,499,4,1173,669,259,50,71,80,2,17,8,12
12,CĂLĂRAŞI,"LICEUL AGRICOL ”SANDU ALDEA” CĂLĂRAŞI",12,"MUNICIPIUL CĂLĂRAŞI",92569,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:03:42",942,939,0,3,0,337,334,0,3,0,323,14,1047,710,163,16,34,86,2,12,2,8
