precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"IONESCU ALEXANDRU-PARTIDUL NAȚIONAL LIBERAL-voturi","ANA CONSTANTIN-EMILIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","GORGON GHEORGHE-COSMIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PLEŞA EMIL-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
16,DÂMBOVIŢA,"CENTRUL DE ZI DE SOCIALIZARE ȘI PETRECERE A TIMPULUI LIBER - TIP CLUB",110,"ORAŞ PUCIOASA",65921,2,PART,PRCNCT,P,P_SV,"2024-06-10 05:51:57",1103,1097,1,5,0,520,515,0,5,0,509,11,1210,690,13,453,23,20
16,DÂMBOVIŢA,"COLEGIUL NATIONAL „NICOLAE TITULESCU”",109,"ORAŞ PUCIOASA",65921,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:29:32",1048,1034,2,5,7,469,457,0,5,7,446,23,1160,691,28,378,21,19
16,DÂMBOVIŢA,"COLEGIUL NAȚIONAL ”NICOLAE TITULESCU””",108,"ORAŞ PUCIOASA",65921,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:49:18",1127,1114,5,6,2,531,523,0,6,2,517,14,1240,709,28,450,21,18
16,DÂMBOVIŢA,"GRADINITA DE COPII CU PROGRAM PRELUNGIT NR.5 ”PARADISUL PITICILOR”",113,"ORAŞ PUCIOASA",65921,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:05:32",1046,1038,0,7,1,486,478,0,7,1,473,13,1140,654,23,416,22,12
16,DÂMBOVIŢA,"GRĂDINIȚA DIACONEȘTI NR.9",112,"ORAŞ PUCIOASA",65921,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:45:29",825,815,1,9,0,417,408,0,9,0,402,15,900,483,12,360,21,9
16,DÂMBOVIŢA,"ȘCOALA GENERALĂ NR.2 PUCIOASA",103,"ORAŞ PUCIOASA",65921,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:55:18",1244,1224,6,4,10,616,600,2,4,10,605,11,1370,754,19,548,15,23
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”DONICI ELENA CANTACUZINO” PUCIOASA",107,"ORAŞ PUCIOASA",65921,3,PART,PRCNCT,P,P_SV,"2024-06-10 07:29:41",1248,1235,0,7,6,559,546,0,7,6,546,13,1380,821,25,484,18,19
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ MALURI",114,"ORAŞ PUCIOASA",65921,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:34:46",102,94,1,7,0,60,52,1,7,0,58,2,110,50,0,53,2,3
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”MIHAI VITEAZUL” PUCIOASA",105,"ORAŞ PUCIOASA",65921,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:55:03",1171,1156,5,6,4,564,554,0,6,4,545,19,1290,726,22,484,19,20
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”MIHAI VITEAZUL” PUCIOASA",104,"ORAŞ PUCIOASA",65921,2,PART,PRCNCT,P,P_SV,"2024-06-10 06:48:30",999,986,2,11,0,477,466,0,11,0,467,10,1090,613,21,418,13,15
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ NR. 1 „MIHAI VITEAZUL” PUCIOASA",106,"ORAŞ PUCIOASA",65921,2,PART,PRCNCT,P,P_SV,"2024-06-10 06:28:21",799,789,0,10,0,354,344,0,10,0,337,17,880,526,15,285,10,27
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ NR. 3 PUCIOASA",111,"ORAŞ PUCIOASA",65921,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:18:39",1163,1153,0,9,1,485,475,0,9,1,475,10,1280,795,12,438,14,11
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ PUCIOASA-SAT",115,"ORAŞ PUCIOASA",65921,2,PART,PRCNCT,P,P_SV,"2024-06-10 04:56:59",338,333,0,3,2,182,177,0,3,2,177,5,370,188,8,154,8,7
