precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"FILIP MIHAI-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","TIŢA VASILE-PARTIDUL SOCIAL DEMOCRAT-voturi","STANCIU ILIE-PARTIDUL NAȚIONAL LIBERAL-voturi"
16,DÂMBOVIŢA,"ŞCOALA LUCIENI",278,LUCIENI,67773,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:25:24",1075,1072,1,2,0,635,633,0,2,0,614,19,1180,545,41,443,130
16,DÂMBOVIŢA,"ŞCOALA LUCIENI",277,LUCIENI,67773,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:41:10",984,974,0,10,0,634,624,0,10,0,621,13,1070,436,47,483,91
16,DÂMBOVIŢA,"ŞCOALA OLTENI",279,LUCIENI,67773,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:38:56",475,458,0,17,0,305,288,0,17,0,300,5,500,195,14,270,16
