precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"OLTEANU-LALU IONEL-PARTIDUL SOCIAL DEMOCRAT-voturi","TATOMIR FLORIN-PARTIDUL NAȚIONAL LIBERAL-voturi"
16,DÂMBOVIŢA,"GRĂDINIȚA MORTENI CENTRU",307,MORTENI,68253,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:16:11",1145,1096,1,32,16,941,893,0,32,16,873,20,1210,317,680,193
16,DÂMBOVIŢA,"GRĂDINIȚA MORTENI CENTRU",308,MORTENI,68253,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:04:52",1110,1079,0,18,13,849,818,0,18,13,831,18,1200,351,671,160
