precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"AANEI FLORIN-CĂTĂLIN-UNIUNEA SALVAȚI ROMÂNIA-voturi","POPA VASILE-PARTIDUL NAȚIONAL LIBERAL-voturi","DUMITRIU DĂNUŢ-PARTIDUL SOCIAL DEMOCRAT-voturi","HURDUBAIE BENONE-CĂTĂLIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","LUPU MARICEL-PARTIDUL S.O.S. ROMÂNIA-voturi","GHEORGHIU IRINA-FORȚA DREPTEI-voturi"
39,VASLUI,"GRĂDINIȚA CU PROGRAM NORMAL NR.1",482,TANACU,166182,3,PART,PRCNCT,P,P_SV,"2024-06-10 08:30:21",1259,1229,0,4,26,678,648,0,4,26,638,40,1300,622,122,121,196,88,35,76
39,VASLUI,"ŞCOALA PRIMARĂ SAT. BENEŞTI",483,TANACU,166182,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:04:57",249,238,0,9,2,137,126,0,9,2,127,10,309,172,9,74,10,9,3,22
