precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","FETTI ROMANA-IULIA-voturi"
6,BISTRIŢA-NĂSĂUD,"PRIMĂRIA COMUNEI SALVA",237,SALVA,34397,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:30:13",1083,994,0,39,50,825,736,0,39,50,806,17,1100,275,256,396,17,112,3,22
6,BISTRIŢA-NĂSĂUD,"ŞCOALA PROFESIONALĂ ”TIBERIU MORARIU”",238,SALVA,34397,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:07:42",1254,1182,1,52,19,921,849,1,52,19,890,25,1300,379,271,441,56,48,5,69
