precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PANDELEA NECULAI-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BOBOC NICU-GABRIEL-PARTIDUL NAȚIONAL LIBERAL-voturi","BĂRCULESCU CRISTINEL-NECULAI-PARTIDUL SOCIAL DEMOCRAT-voturi"
35,SUCEAVA,"PRIMĂRIA DOLHEŞTI",280,DOLHEŞTI,148097,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:13:17",1385,1342,2,8,33,785,743,1,8,33,766,19,1468,683,38,33,695
35,SUCEAVA,"ŞCOALA GIMNAZIALĂ DOLHEŞTII MICI",281,DOLHEŞTI,148097,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:09:46",973,958,1,14,0,532,517,1,14,0,513,12,1100,575,9,53,451
35,SUCEAVA,"ŞCOALA PRIMARĂ VALEA BOUREI",282,DOLHEŞTI,148097,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:45:39",625,616,0,7,2,344,336,0,7,1,330,14,700,356,10,14,306
