precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"FODOR ALEXANDRU-IOSIF-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","MIHĂILESCU ALIN-MARIUS-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","CÂNDEA CIPRIAN-FLORIN-PARTIDUL SOCIAL DEMOCRAT-voturi","MEGHEŞAN NICOLAE-SORIN-PARTIDUL NAȚIONAL LIBERAL-voturi","CHEŢAN VASILE-voturi"
28,MUREŞ,"CĂMINUL CULTURAL BOBOHALMA",150,"MUNICIPIUL TÂRNĂVENI",114925,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:14:01",779,773,1,5,0,322,317,0,5,0,307,15,860,538,3,107,27,139,31
28,MUREŞ,"CASA DE CULTURĂ MIHAI EMINESCU",138,"MUNICIPIUL TÂRNĂVENI",114925,2,PART,PRCNCT,P,P_SV,"2024-06-10 05:09:40",1151,1144,0,7,0,459,452,0,7,0,456,3,1260,801,30,76,119,188,43
28,MUREŞ,"CENTRUL SOCIAL VICTORIA",146,"MUNICIPIUL TÂRNĂVENI",114925,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:33:31",1050,1042,3,4,1,463,456,2,4,1,454,9,1150,687,17,87,108,202,40
28,MUREŞ,"CLUBUL PENSIONARILOR NR. 2",145,"MUNICIPIUL TÂRNĂVENI",114925,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:34:58",1090,1082,2,6,0,425,419,0,6,0,413,12,1200,775,38,88,60,163,64
28,MUREŞ,"COLEGIUL TEHNIC",139,"MUNICIPIUL TÂRNĂVENI",114925,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:40:58",870,865,1,4,0,348,343,1,4,0,340,8,954,606,49,46,73,136,36
28,MUREŞ,"GRĂDINIŢA CU PROGRAM NORMAL NR. 6",152,"MUNICIPIUL TÂRNĂVENI",114925,5,PART,PRCNCT,P,P_SV,"2024-06-10 05:51:39",476,468,2,6,0,215,209,0,6,0,204,11,508,293,4,29,44,105,22
28,MUREŞ,"GRĂDINIȚA CU PROGRAM NORMAL NR. 6",144,"MUNICIPIUL TÂRNĂVENI",114925,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:06:31",1068,1063,1,4,0,413,409,0,4,0,402,11,1180,767,28,67,67,159,81
28,MUREŞ,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR.1",135,"MUNICIPIUL TÂRNĂVENI",114925,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:19:56",908,901,0,7,0,415,408,0,7,0,409,6,990,575,45,45,78,198,43
28,MUREŞ,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 4",132,"MUNICIPIUL TÂRNĂVENI",114925,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:38:31",965,957,0,8,0,348,340,0,8,0,344,4,1060,712,37,57,74,134,42
28,MUREŞ,"LICEUL CONSTANTIN BRÂNCUŞI",137,"MUNICIPIUL TÂRNĂVENI",114925,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:24:11",1024,1018,0,6,0,360,354,0,6,0,344,16,1130,770,33,59,47,159,46
28,MUREŞ,"LICEUL TEORETIC ANDREI BÂRSEANU",142,"MUNICIPIUL TÂRNĂVENI",114925,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:21:35",1246,1209,7,6,24,505,475,0,6,24,489,16,1340,835,32,72,77,253,55
28,MUREŞ,"LICEUL TEORETIC ANDREI BÂRSEANU",143,"MUNICIPIUL TÂRNĂVENI",114925,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:21:54",1247,1240,2,4,1,460,455,0,4,1,453,7,1270,810,42,80,95,180,56
28,MUREŞ,"ŞCOALA GIMNAZIALĂ AVRAM IANCU",140,"MUNICIPIUL TÂRNĂVENI",114925,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:33:21",861,855,1,5,0,280,275,0,5,0,271,9,964,684,18,63,33,107,50
28,MUREŞ,"ȘCOALA GIMNAZIALĂ AVRAM IANCU",141,"MUNICIPIUL TÂRNĂVENI",114925,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:29:40",905,894,4,7,0,333,326,0,7,0,330,3,1000,667,42,49,52,150,37
28,MUREŞ,"ȘCOALA GIMNAZIALĂ NR.3",134,"MUNICIPIUL TÂRNĂVENI",114925,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:26:13",975,970,0,5,0,377,372,0,5,0,349,28,1080,703,9,51,46,179,64
28,MUREŞ,"ȘCOALA GIMNAZIALĂ NR.3",133,"MUNICIPIUL TÂRNĂVENI",114925,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:55:30",1100,1091,0,9,0,459,450,0,9,0,419,40,1200,741,6,43,37,193,140
28,MUREŞ,"ȘCOALA GIMNAZIALĂ TRAIAN",136,"MUNICIPIUL TÂRNĂVENI",114925,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:56:49",1095,1085,3,7,0,457,450,0,7,0,438,19,1200,743,48,87,81,174,48
28,MUREŞ,"ŞCOALA GIMNAZIALĂ VASILE MOLDOVAN",148,"MUNICIPIUL TÂRNĂVENI",114925,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:32:53",1112,1104,4,4,0,464,460,0,4,0,415,49,1210,746,6,46,94,239,30
28,MUREŞ,"ŞCOALA GIMNAZIALĂ VASILE MOLDOVAN",149,"MUNICIPIUL TÂRNĂVENI",114925,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:55:09",1402,1394,2,6,0,473,466,1,6,0,465,8,1220,747,37,84,89,191,64
28,MUREŞ,"ŞCOALA GIMNAZIALĂ VASILE MOLDOVAN",147,"MUNICIPIUL TÂRNĂVENI",114925,2,PART,PRCNCT,P,P_SV,"2024-06-10 04:51:06",981,970,3,7,1,376,368,0,7,1,373,3,1205,829,27,84,55,158,49
28,MUREŞ,"ŞCOALA PRIMARĂ BOTORCA",151,"MUNICIPIUL TÂRNĂVENI",114925,5,PART,PRCNCT,P,P_SV,"2024-06-10 02:13:58",293,289,0,4,0,132,128,0,4,0,130,2,320,188,7,25,16,78,4
