precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"FÓRIZS LÁSZLÓ-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","MATE RADU-voturi"
33,SĂLAJ,"CĂMINUL CULTURAL",240,NUŞFALĂU,142239,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:47:30",310,303,0,3,4,212,205,0,3,4,208,4,350,138,65,143
33,SĂLAJ,"CENTRUL DE INFORMARE TURISTICĂ",238,NUŞFALĂU,142239,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:10:53",1367,1344,4,11,8,869,850,0,11,8,816,53,1490,621,325,491
33,SĂLAJ,"PRIMĂRIA NUȘFALĂU - SALA DE ȘEDINȚE",239,NUŞFALĂU,142239,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:10:50",1404,1383,5,0,16,985,968,1,0,16,977,8,1535,550,553,424
