precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"VLADU IONEL-UNIUNEA SALVAȚI ROMÂNIA-voturi","OLARU MARCEL-PARTIDUL NAȚIONAL LIBERAL-voturi","PREDA CRISTACHE-PARTIDUL SOCIAL DEMOCRAT-voturi","PETRIŞOR FĂNEL-PARTIDUL S.O.S. ROMÂNIA-voturi"
17,DOLJ,"ȘCOALA GENERALĂ COMOȘTENI",354,GÂNGIOVA,72579,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:32:59",837,816,0,8,13,486,465,0,8,13,471,15,900,414,16,218,225,12
17,DOLJ,"ȘCOALA GIMNAZIALĂ GÂNGIOVA",353,GÂNGIOVA,72579,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:31:17",1213,1162,0,23,28,716,665,0,23,28,665,51,1271,555,2,305,356,2
