precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
3,ARGEŞ,"CĂMINUL CULTURAL VLĂDEȘTI CENTRU",521,VLĂDEŞTI,19999,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:54:30",1653,1645,0,3,5,1189,1181,0,3,5,1158,31,1800,611,22,72,297,505,164,73,25
3,ARGEŞ,"CĂMINUL CULTURAL VLĂDEȘTI DE SUS",522,VLĂDEŞTI,19999,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:52:38",877,871,0,4,2,669,663,0,4,2,605,64,971,302,99,18,175,169,59,7,78
